Stazione,Latitudine,Longitudine,Data_Ora,CO (mg/m³),Direzione_Vento (°N),NO2 (µg/m³),NOx (ppb),NO (ppb),O3 (µg/m³),PM10 (µg/m³),PM2-5 (µg/m³),Precipitazione (mm),Pressione (mBar),Radiazione_Globale (W/m²),SO2 (µg/m³),Temperatura (°C),Umidità_Relativa (%),Velocità_Vento (m/s)
S_Nicola_di_Melfi,41.069444,15.7225,01/01/2021 11:00,0.37,63.0,7.69,5.71,1.68,53.08,10.6,5.4,0.0,991.58,332.37,2.75,11.09,62.86,1.47
S_Nicola_di_Melfi,41.069444,15.7225,01/01/2021 12:00,0.35,61.0,7.1,5.26,1.55,61.38,13.0,9.3,0.0,991.02,376.58,2.55,12.12,59.21,1.75
S_Nicola_di_Melfi,41.069444,15.7225,01/01/2021 13:00,0.39,167.0,6.77,5.13,1.59,67.51,12.7,9.89,0.0,989.93,329.61,2.68,13.44,50.62,1.46
S_Nicola_di_Melfi,41.069444,15.7225,01/01/2021 14:00,0.37,187.0,5.06,4.1,1.46,71.78,10.3,6.8,0.0,989.27,186.05,2.67,13.63,48.13,4.71
S_Nicola_di_Melfi,41.069444,15.7225,01/01/2021 15:00,0.37,181.0,4.58,3.8,1.41,69.55,7.75,5.33,0.0,989.41,118.39,2.67,13.41,51.8,3.07
S_Nicola_di_Melfi,41.069444,15.7225,01/01/2021 16:00,0.38,255.0,5.27,4.25,1.5,66.46,4.8,3.7,0.0,989.62,80.17,2.62,13.24,55.01,2.33
S_Nicola_di_Melfi,41.069444,15.7225,01/01/2021 17:00,0.35,173.0,5.33,4.11,1.33,64.17,6.8,5.5,0.0,989.97,15.69,2.58,11.44,61.59,2.8
S_Nicola_di_Melfi,41.069444,15.7225,01/01/2021 18:00,0.37,198.0,5.93,4.57,1.47,59.91,11.52,-9999.0,0.0,990.21,2.33,2.62,9.86,66.31,2.75
S_Nicola_di_Melfi,41.069444,15.7225,01/01/2021 19:00,0.39,204.0,6.22,4.62,1.36,54.45,13.0,9.6,0.0,990.36,2.33,2.52,8.57,72.48,3.2
S_Nicola_di_Melfi,41.069444,15.7225,01/01/2021 20:00,0.43,190.0,6.76,5.0,1.46,48.14,8.1,6.6,0.0,990.56,2.28,2.51,7.07,76.01,1.84
S_Nicola_di_Melfi,41.069444,15.7225,01/01/2021 21:00,0.46,174.0,7.12,5.16,1.44,49.77,12.3,6.4,0.0,990.71,2.32,2.53,6.49,76.59,3.01
S_Nicola_di_Melfi,41.069444,15.7225,01/01/2021 22:00,0.42,189.0,7.1,5.31,1.6,50.42,20.0,6.9,0.0,990.76,2.29,2.59,6.44,74.07,2.51
S_Nicola_di_Melfi,41.069444,15.7225,01/01/2021 23:00,0.42,197.0,6.78,4.96,1.42,47.66,8.6,4.4,0.0,990.61,2.29,2.5,5.36,75.7,1.86
S_Nicola_di_Melfi,41.069444,15.7225,02/01/2021 00:00,0.43,160.0,6.66,4.82,1.34,50.23,5.8,3.8,0.0,990.3,2.21,2.47,5.48,72.79,2.56
S_Nicola_di_Melfi,41.069444,15.7225,02/01/2021 01:00,0.42,192.0,5.06,4.14,1.49,58.28,4.9,2.9,0.0,989.67,2.25,2.56,6.55,69.95,4.89
S_Nicola_di_Melfi,41.069444,15.7225,02/01/2021 02:00,0.39,195.0,4.54,3.67,1.3,62.13,5.5,3.5,0.0,989.57,2.22,2.58,7.59,67.51,4.11
S_Nicola_di_Melfi,41.069444,15.7225,02/01/2021 03:00,0.39,298.0,5.97,4.6,1.48,51.89,7.89,4.83,0.0,989.73,2.28,2.45,5.88,73.37,0.42
S_Nicola_di_Melfi,41.069444,15.7225,02/01/2021 04:00,0.37,297.0,6.4,5.13,1.78,57.79,12.2,8.0,0.0,988.86,2.19,2.6,6.78,68.02,0.96
S_Nicola_di_Melfi,41.069444,15.7225,02/01/2021 05:00,0.38,176.0,8.41,5.9,1.51,52.56,6.3,4.3,0.0,988.15,2.23,2.67,6.22,71.41,2.47
S_Nicola_di_Melfi,41.069444,15.7225,02/01/2021 06:00,0.35,159.0,4.71,3.84,1.38,65.66,11.5,4.69,0.0,987.69,2.18,2.74,8.17,63.04,4.63
S_Nicola_di_Melfi,41.069444,15.7225,02/01/2021 07:00,0.37,172.0,3.85,3.31,1.29,67.81,4.4,2.79,0.0,987.78,2.26,2.86,8.81,61.38,5.37
S_Nicola_di_Melfi,41.069444,15.7225,02/01/2021 08:00,0.37,160.0,-9999.0,-9999.0,-9999.0,60.15,6.19,5.19,0.0,987.79,12.23,2.53,8.1,69.14,3.8
S_Nicola_di_Melfi,41.069444,15.7225,02/01/2021 09:00,0.38,192.0,7.52,5.67,1.74,57.88,13.6,8.6,0.0,987.29,146.14,2.59,8.98,69.69,4.0
S_Nicola_di_Melfi,41.069444,15.7225,02/01/2021 10:00,0.36,182.0,6.33,4.85,1.54,66.02,11.5,-9999.0,0.0,987.03,228.1,2.53,11.82,61.83,4.34
S_Nicola_di_Melfi,41.069444,15.7225,02/01/2021 11:00,0.37,128.0,6.26,4.88,1.61,69.56,10.9,6.6,0.0,986.47,299.55,2.75,13.37,59.76,6.92
S_Nicola_di_Melfi,41.069444,15.7225,02/01/2021 12:00,0.34,156.0,4.85,3.97,1.43,72.38,14.2,10.6,0.0,985.89,361.61,3.4,14.73,56.62,6.73
S_Nicola_di_Melfi,41.069444,15.7225,02/01/2021 13:00,0.32,166.0,5.15,4.14,1.45,74.03,20.0,11.2,0.0,986.05,96.12,3.47,13.35,61.71,4.03
S_Nicola_di_Melfi,41.069444,15.7225,02/01/2021 14:00,0.32,227.0,6.15,4.98,1.77,84.73,17.89,9.0,0.0,986.46,36.05,2.53,10.19,70.8,5.99
S_Nicola_di_Melfi,41.069444,15.7225,02/01/2021 15:00,0.31,182.0,4.94,3.98,1.4,82.41,7.89,4.8,0.0,986.08,38.68,2.64,9.93,74.44,7.47
S_Nicola_di_Melfi,41.069444,15.7225,02/01/2021 16:00,0.33,205.0,5.36,4.22,1.42,81.44,4.86,2.34,0.0,986.8,42.5,2.54,11.03,63.64,5.55
S_Nicola_di_Melfi,41.069444,15.7225,02/01/2021 17:00,0.34,118.0,6.58,4.82,1.39,76.21,6.8,3.0,0.0,986.58,15.68,2.46,10.58,65.91,1.65
S_Nicola_di_Melfi,41.069444,15.7225,02/01/2021 18:00,0.36,141.0,5.85,4.43,1.38,73.29,8.39,3.8,0.0,986.67,2.14,2.64,9.72,68.94,3.66
S_Nicola_di_Melfi,41.069444,15.7225,02/01/2021 19:00,0.36,140.0,5.02,3.91,1.29,73.9,10.3,6.0,0.0,986.8,2.09,2.54,9.56,68.52,3.43
S_Nicola_di_Melfi,41.069444,15.7225,02/01/2021 20:00,0.38,239.0,7.34,5.28,1.45,64.41,3.9,3.09,0.0,987.06,2.11,2.47,8.39,73.09,0.7
S_Nicola_di_Melfi,41.069444,15.7225,02/01/2021 21:00,0.4,53.0,8.95,6.39,1.72,62.82,7.69,6.0,0.0,987.26,2.1,2.62,8.23,71.68,1.89
S_Nicola_di_Melfi,41.069444,15.7225,02/01/2021 22:00,0.39,240.0,10.78,7.83,2.19,61.98,7.6,4.59,0.0,987.27,2.14,2.74,8.15,69.7,0.76
S_Nicola_di_Melfi,41.069444,15.7225,02/01/2021 23:00,0.38,238.0,8.53,6.48,2.02,73.5,11.6,10.4,0.0,987.71,2.07,2.61,9.92,55.96,2.84
S_Nicola_di_Melfi,41.069444,15.7225,03/01/2021 00:00,0.39,211.0,6.24,4.67,1.41,73.0,13.1,9.19,0.0,988.11,2.029,2.55,9.07,60.24,0.76
S_Nicola_di_Melfi,41.069444,15.7225,03/01/2021 01:00,0.39,218.0,5.48,4.54,1.67,63.87,14.68,9.99,0.0,988.09,2.17,2.63,6.86,68.43,2.35
S_Nicola_di_Melfi,41.069444,15.7225,03/01/2021 02:00,0.38,209.0,4.97,3.98,1.38,62.85,17.0,12.1,0.0,987.95,2.21,2.71,6.28,69.98,3.26
S_Nicola_di_Melfi,41.069444,15.7225,03/01/2021 03:00,0.41,190.0,6.18,4.75,1.51,65.37,20.9,16.6,0.0,988.38,2.21,2.54,6.91,67.74,3.42
S_Nicola_di_Melfi,41.069444,15.7225,03/01/2021 04:00,0.41,164.0,6.38,4.73,1.4,61.8,22.8,19.5,0.0,988.4,2.2,2.76,6.46,69.64,2.19
S_Nicola_di_Melfi,41.069444,15.7225,03/01/2021 05:00,0.39,275.0,6.43,4.97,1.6,58.95,21.9,17.8,0.0,988.1,2.23,2.78,5.85,72.52,0.7
S_Nicola_di_Melfi,41.069444,15.7225,03/01/2021 06:00,0.38,213.0,6.23,4.57,1.32,62.56,23.0,18.8,0.0,988.2,2.3,2.75,6.58,69.41,3.08
S_Nicola_di_Melfi,41.069444,15.7225,03/01/2021 07:00,0.34,293.0,-9999.0,-9999.0,-9999.0,70.3,42.79,30.7,0.0,989.18,2.29,2.71,6.94,72.7,2.23
S_Nicola_di_Melfi,41.069444,15.7225,03/01/2021 08:00,0.35,188.0,7.38,5.3,1.44,66.07,43.0,26.4,0.0,989.21,17.36,2.51,6.69,73.69,1.99
S_Nicola_di_Melfi,41.069444,15.7225,03/01/2021 09:00,0.39,153.0,8.59,6.17,1.68,61.14,48.2,23.9,0.0,989.68,124.63,2.42,7.43,75.87,2.54
S_Nicola_di_Melfi,41.069444,15.7225,03/01/2021 10:00,0.35,184.0,7.8,5.56,1.48,72.24,46.09,26.9,0.0,990.25,116.38,2.31,8.97,70.13,2.04
S_Nicola_di_Melfi,41.069444,15.7225,03/01/2021 11:00,0.35,123.0,7.71,5.52,1.49,71.29,15.5,9.6,0.0,989.72,366.81,2.43,11.36,60.54,1.08
S_Nicola_di_Melfi,41.069444,15.7225,03/01/2021 12:00,0.37,129.0,6.47,5.02,1.64,77.52,15.6,9.19,0.0,988.67,287.35,2.66,12.74,52.21,1.69
S_Nicola_di_Melfi,41.069444,15.7225,03/01/2021 13:00,0.38,135.0,6.3,4.72,1.42,75.73,22.5,15.4,0.0,988.52,98.15,2.58,12.44,54.55,2.04
S_Nicola_di_Melfi,41.069444,15.7225,03/01/2021 14:00,0.35,250.0,6.05,4.93,1.77,80.8,24.4,16.5,11.2,989.57,117.44,2.64,8.05,73.99,6.02
S_Nicola_di_Melfi,41.069444,15.7225,03/01/2021 15:00,0.36,187.0,4.69,3.83,1.38,80.4,24.6,18.39,0.0,989.0,248.68,2.82,10.23,64.569,5.23
S_Nicola_di_Melfi,41.069444,15.7225,03/01/2021 16:00,0.36,181.0,4.23,3.67,1.46,77.77,23.8,16.89,0.0,989.5,37.82,2.7,9.35,64.09,5.3
S_Nicola_di_Melfi,41.069444,15.7225,03/01/2021 17:00,0.35,237.0,4.71,3.88,1.42,79.64,18.8,16.8,0.0,990.7,13.38,2.5,7.63,68.14,4.68
S_Nicola_di_Melfi,41.069444,15.7225,03/01/2021 18:00,0.36,188.0,7.63,5.44,1.45,71.26,13.5,8.3,0.0,989.9,2.4,2.86,6.54,72.6,1.97
S_Nicola_di_Melfi,41.069444,15.7225,03/01/2021 19:00,0.4,201.0,7.56,5.5,1.54,68.67,18.92,17.28,0.0,990.19,2.41,2.93,6.14,70.89,2.14
S_Nicola_di_Melfi,41.069444,15.7225,03/01/2021 20:00,0.4,203.0,9.19,6.5,1.69,64.47,-9999.0,17.8,0.0,990.02,2.4,2.65,6.33,67.48,1.92
S_Nicola_di_Melfi,41.069444,15.7225,03/01/2021 21:00,0.41,184.0,10.07,6.61,1.35,62.61,16.7,12.6,0.0,989.76,2.29,2.92,6.42,64.4,0.66
S_Nicola_di_Melfi,41.069444,15.7225,03/01/2021 22:00,0.41,61.0,9.96,8.2,2.99,60.53,13.6,9.89,0.0,989.39,2.22,2.5,5.84,70.08,1.82
S_Nicola_di_Melfi,41.069444,15.7225,03/01/2021 23:00,0.39,275.0,12.72,9.03,2.37,54.77,10.3,7.0,0.0,989.29,2.17,2.48,5.38,75.14,1.24
S_Nicola_di_Melfi,41.069444,15.7225,04/01/2021 00:00,0.39,226.0,9.9,6.53,1.35,61.99,9.1,5.9,0.0,989.2,2.13,2.34,6.62,65.9,1.93
S_Nicola_di_Melfi,41.069444,15.7225,04/01/2021 01:00,0.38,212.0,5.62,4.42,1.48,73.44,7.19,4.09,0.0,988.98,2.12,2.67,8.25,56.43,4.75
S_Nicola_di_Melfi,41.069444,15.7225,04/01/2021 02:00,0.39,208.0,6.53,4.95,1.54,67.8,4.9,-9999.0,0.0,988.77,2.06,2.56,7.53,60.94,3.5
S_Nicola_di_Melfi,41.069444,15.7225,04/01/2021 03:00,0.4,301.0,7.12,5.28,1.56,62.38,10.5,8.0,0.0,989.12,2.08,2.67,6.26,66.72,2.79
S_Nicola_di_Melfi,41.069444,15.7225,04/01/2021 04:00,0.43,288.0,6.92,5.47,1.85,61.07,6.8,4.09,0.0,988.7,2.06,2.59,5.76,68.43,1.78
S_Nicola_di_Melfi,41.069444,15.7225,04/01/2021 05:00,0.39,206.0,7.26,5.38,1.58,54.52,8.3,-9999.0,0.0,988.37,2.13,2.48,5.48,72.39,1.93
S_Nicola_di_Melfi,41.069444,15.7225,04/01/2021 06:00,0.4,277.0,-9999.0,-9999.0,-9999.0,43.41,8.69,-9999.0,0.0,988.21,2.18,2.51,4.94,75.04,1.02
S_Nicola_di_Melfi,41.069444,15.7225,04/01/2021 07:00,0.39,241.0,30.29,22.0,6.17,30.04,5.9,-9999.0,0.0,987.94,2.11,3.26,4.94,76.53,0.89
S_Nicola_di_Melfi,41.069444,15.7225,04/01/2021 08:00,0.4,308.0,25.49,18.86,5.51,37.7,11.4,-9999.0,0.0,987.85,6.47,2.62,5.42,76.68,1.66
S_Nicola_di_Melfi,41.069444,15.7225,04/01/2021 09:00,0.41,313.0,35.04,28.32,9.99,35.71,-9999.0,-9999.0,0.0,988.07,73.42,2.35,6.26,73.1,0.77
S_Nicola_di_Melfi,41.069444,15.7225,04/01/2021 10:00,0.42,68.0,30.28,23.66,7.83,36.2,10.7,7.5,0.0,988.01,230.61,2.66,8.29,67.78,1.09
S_Nicola_di_Melfi,41.069444,15.7225,04/01/2021 11:00,0.41,232.0,17.44,13.37,4.25,54.27,10.0,6.4,0.0,987.57,344.9,3.1,10.18,59.94,1.39
S_Nicola_di_Melfi,41.069444,15.7225,04/01/2021 12:00,0.38,242.0,9.1,7.2,2.45,68.92,13.1,10.0,0.0,986.57,370.17,2.96,11.99,51.79,3.61
S_Nicola_di_Melfi,41.069444,15.7225,04/01/2021 13:00,0.39,249.0,7.53,6.94,3.01,72.66,17.3,13.0,0.0,985.86,340.73,2.8,12.48,50.76,3.72
S_Nicola_di_Melfi,41.069444,15.7225,04/01/2021 14:00,0.37,272.0,16.2,17.82,9.35,69.76,12.4,10.4,0.0,985.4,289.91,2.73,13.08,47.12,4.21
S_Nicola_di_Melfi,41.069444,15.7225,04/01/2021 15:00,0.37,281.0,11.2,9.97,4.12,72.55,16.8,14.8,0.0,985.62,114.85,2.48,12.47,48.79,3.67
S_Nicola_di_Melfi,41.069444,15.7225,04/01/2021 16:00,0.45,294.0,20.15,14.58,4.03,65.12,17.0,14.0,0.0,986.1,60.95,2.74,11.8,53.64,3.32
S_Nicola_di_Melfi,41.069444,15.7225,04/01/2021 17:00,0.43,285.0,21.96,15.22,3.74,60.95,17.8,13.7,0.0,986.61,10.61,2.9,10.13,61.26,3.29
S_Nicola_di_Melfi,41.069444,15.7225,04/01/2021 18:00,0.43,274.0,22.01,17.92,6.42,58.17,17.3,-9999.0,0.0,987.26,2.02,3.02,9.23,60.04,3.2
S_Nicola_di_Melfi,41.069444,15.7225,04/01/2021 19:00,0.41,272.0,15.01,9.44,1.59,61.95,20.3,15.47,0.0,987.67,2.0,2.92,8.54,61.79,3.97
S_Nicola_di_Melfi,41.069444,15.7225,04/01/2021 20:00,0.43,2.0,28.75,20.51,5.46,41.47,17.2,13.9,0.0,988.14,1.98,2.82,7.23,67.05,0.68
S_Nicola_di_Melfi,41.069444,15.7225,04/01/2021 21:00,0.43,284.0,29.27,21.5,6.2,41.99,12.1,9.3,0.0,988.6,1.98,3.06,6.77,66.76,2.21
S_Nicola_di_Melfi,41.069444,15.7225,04/01/2021 22:00,0.45,272.0,23.65,21.31,8.95,52.3,6.1,4.69,0.0,989.0,1.99,3.07,7.53,62.39,2.85
S_Nicola_di_Melfi,41.069444,15.7225,04/01/2021 23:00,0.43,262.0,21.79,16.05,4.66,46.45,7.8,6.19,0.0,989.1,2.0,2.65,6.9,64.209,1.85
S_Nicola_di_Melfi,41.069444,15.7225,05/01/2021 00:00,0.43,258.0,15.32,10.89,2.89,48.39,10.0,6.19,0.0,989.23,2.05,2.68,6.01,66.08,0.51
S_Nicola_di_Melfi,41.069444,15.7225,05/01/2021 01:00,0.4,195.0,9.54,6.52,1.53,53.72,4.09,2.5,0.0,989.3,2.09,2.56,5.58,68.53,1.41
S_Nicola_di_Melfi,41.069444,15.7225,05/01/2021 02:00,0.41,218.0,7.35,5.2,1.36,52.78,5.69,-9999.0,0.0,989.68,2.17,2.58,4.85,71.04,1.59
S_Nicola_di_Melfi,41.069444,15.7225,05/01/2021 03:00,0.41,209.0,7.3,5.64,1.82,49.23,11.6,8.47,0.0,989.69,2.1,2.46,4.15,75.08,2.04
S_Nicola_di_Melfi,41.069444,15.7225,05/01/2021 04:00,0.41,278.0,6.44,4.88,1.5,45.99,10.9,-9999.0,0.0,989.73,2.14,2.56,3.86,77.83,1.16
S_Nicola_di_Melfi,41.069444,15.7225,05/01/2021 05:00,0.43,256.0,-9999.0,-9999.0,-9999.0,35.69,13.3,9.58,0.0,989.55,2.19,3.04,3.85,77.28,0.62
S_Nicola_di_Melfi,41.069444,15.7225,05/01/2021 06:00,0.44,203.0,39.79,48.27,27.45,24.65,18.89,12.0,0.0,989.23,2.09,4.41,3.84,77.78,0.82
S_Nicola_di_Melfi,41.069444,15.7225,05/01/2021 07:00,0.41,197.0,29.93,27.08,11.42,34.33,9.89,6.69,0.0,989.23,2.12,2.91,4.62,75.31,0.76
S_Nicola_di_Melfi,41.069444,15.7225,05/01/2021 08:00,0.43,196.0,22.25,16.03,4.39,44.01,7.5,4.09,1.6,989.35,20.54,2.43,5.84,71.37,2.47
S_Nicola_di_Melfi,41.069444,15.7225,05/01/2021 09:00,0.45,299.0,45.4,40.89,17.13,17.07,9.89,9.89,0.0,989.63,45.11,3.03,5.99,72.63,0.94
S_Nicola_di_Melfi,41.069444,15.7225,05/01/2021 10:00,0.44,317.0,43.35,40.71,18.04,19.36,10.9,7.8,0.0,989.77,54.77,3.08,6.58,71.39,0.59
S_Nicola_di_Melfi,41.069444,15.7225,05/01/2021 11:00,0.45,308.0,41.45,37.09,15.4,17.87,10.7,7.69,0.0,989.69,61.83,3.21,7.4,70.4,1.01
S_Nicola_di_Melfi,41.069444,15.7225,05/01/2021 12:00,0.41,203.0,29.16,24.16,8.95,40.18,8.0,5.69,0.0,989.05,188.14,2.84,9.55,64.64,5.25
S_Nicola_di_Melfi,41.069444,15.7225,05/01/2021 13:00,0.36,200.0,7.17,5.22,1.48,68.57,8.58,6.28,0.0,988.57,290.92,2.55,11.66,58.27,5.27
S_Nicola_di_Melfi,41.069444,15.7225,05/01/2021 14:00,0.37,187.0,6.23,5.0,1.74,72.73,8.5,5.8,0.0,987.93,245.99,2.5,11.82,54.93,4.41
S_Nicola_di_Melfi,41.069444,15.7225,05/01/2021 15:00,0.37,182.0,5.0,4.03,1.42,77.31,10.37,7.86,0.0,987.36,164.29,2.53,12.4,50.18,4.64
S_Nicola_di_Melfi,41.069444,15.7225,05/01/2021 16:00,0.36,176.0,5.91,4.74,1.65,71.57,9.69,8.39,0.0,987.51,68.93,2.45,11.77,53.08,3.24
S_Nicola_di_Melfi,41.069444,15.7225,05/01/2021 17:00,0.35,185.0,6.41,4.86,1.51,70.72,9.39,7.3,0.0,987.55,12.56,2.48,10.73,53.53,3.97
S_Nicola_di_Melfi,41.069444,15.7225,05/01/2021 18:00,0.39,199.0,12.41,8.6,2.1,67.32,10.4,7.1,0.0,987.92,1.96,2.46,10.28,50.34,2.61
S_Nicola_di_Melfi,41.069444,15.7225,05/01/2021 19:00,0.37,172.0,8.83,5.96,1.35,69.58,8.6,6.8,0.0,988.1,1.91,2.41,9.55,56.85,3.48
S_Nicola_di_Melfi,41.069444,15.7225,05/01/2021 20:00,0.37,171.0,6.17,4.74,1.51,73.81,12.9,9.39,0.0,988.35,1.91,2.42,8.76,61.62,3.69
S_Nicola_di_Melfi,41.069444,15.7225,05/01/2021 21:00,0.36,163.0,5.01,3.93,1.32,76.91,19.0,13.8,0.0,988.19,1.89,2.39,9.36,62.64,4.4
S_Nicola_di_Melfi,41.069444,15.7225,05/01/2021 22:00,0.37,175.0,5.87,4.73,1.66,73.75,24.5,13.4,0.0,987.75,1.92,2.49,9.1,62.21,4.3
S_Nicola_di_Melfi,41.069444,15.7225,05/01/2021 23:00,0.37,206.0,9.77,7.25,2.14,67.99,14.1,7.8,0.0,988.07,1.91,2.52,9.53,58.12,2.47
S_Nicola_di_Melfi,41.069444,15.7225,06/01/2021 00:00,0.37,187.0,5.33,4.08,1.3,69.43,18.2,10.8,0.0,988.25,1.94,2.5,10.11,58.18,3.56
S_Nicola_di_Melfi,41.069444,15.7225,06/01/2021 01:00,0.36,185.0,5.05,4.08,1.45,70.58,22.0,13.1,0.8,988.17,2.24,2.44,10.18,63.6,4.17
S_Nicola_di_Melfi,41.069444,15.7225,06/01/2021 02:00,0.36,249.0,7.59,5.71,1.74,70.42,16.7,7.0,2.4,988.74,2.69,2.67,9.8,69.1,3.37
S_Nicola_di_Melfi,41.069444,15.7225,06/01/2021 03:00,0.35,97.0,5.9,4.45,1.36,67.49,10.4,6.0,1.6,989.16,2.65,2.61,8.82,78.73,1.53
S_Nicola_di_Melfi,41.069444,15.7225,06/01/2021 04:00,0.36,54.0,-9999.0,-9999.0,-9999.0,60.07,13.0,-9999.0,0.0,989.38,2.74,2.58,8.17,85.52,1.52
S_Nicola_di_Melfi,41.069444,15.7225,06/01/2021 05:00,0.35,120.0,7.84,5.55,1.45,55.66,10.9,7.77,0.0,989.46,2.61,2.69,7.44,89.89,1.31
S_Nicola_di_Melfi,41.069444,15.7225,06/01/2021 06:00,0.36,312.0,10.84,7.97,2.29,49.45,9.8,8.6,0.0,990.1,2.57,2.57,7.46,90.53,0.93
S_Nicola_di_Melfi,41.069444,15.7225,06/01/2021 07:00,0.32,78.0,13.76,10.11,2.93,59.29,8.89,4.8,0.0,990.18,2.65,2.49,7.69,84.86,1.14
S_Nicola_di_Melfi,41.069444,15.7225,06/01/2021 08:00,0.35,193.0,8.51,5.95,1.5,58.27,9.8,7.89,0.0,990.34,6.98,2.5,7.27,80.72,1.16
S_Nicola_di_Melfi,41.069444,15.7225,06/01/2021 09:00,0.33,185.0,8.64,6.36,1.85,56.16,8.39,4.5,0.0,990.98,37.77,2.44,7.43,78.55,2.6
S_Nicola_di_Melfi,41.069444,15.7225,06/01/2021 10:00,0.33,232.0,6.22,4.7,1.44,69.91,14.7,6.9,0.0,991.74,38.4,2.77,9.67,68.9,5.36
S_Nicola_di_Melfi,41.069444,15.7225,06/01/2021 11:00,0.33,166.0,5.55,4.15,1.25,69.99,17.0,9.6,0.0,992.14,69.18,2.5,9.29,71.7,4.65
S_Nicola_di_Melfi,41.069444,15.7225,06/01/2021 12:00,0.33,167.0,5.27,4.25,1.5,65.64,11.8,4.8,0.0,991.77,99.88,2.63,9.87,74.01,3.21
S_Nicola_di_Melfi,41.069444,15.7225,06/01/2021 13:00,0.33,182.0,5.97,4.7,1.58,65.64,9.39,4.59,0.0,991.06,129.61,2.48,10.5,71.49,3.1
S_Nicola_di_Melfi,41.069444,15.7225,06/01/2021 14:00,0.33,174.0,5.97,4.52,1.4,64.14,9.39,3.9,0.0,990.8,85.02,2.18,10.46,72.73,2.31
S_Nicola_di_Melfi,41.069444,15.7225,06/01/2021 15:00,0.34,238.0,5.53,4.27,1.38,69.24,6.19,3.8,0.0,990.89,76.65,2.04,10.57,68.77,3.22
S_Nicola_di_Melfi,41.069444,15.7225,06/01/2021 16:00,0.36,218.0,9.48,7.08,2.12,60.6,8.8,4.09,0.0,990.96,30.48,2.72,10.15,74.28,1.22
S_Nicola_di_Melfi,41.069444,15.7225,06/01/2021 17:00,0.35,311.0,9.28,6.62,1.77,58.53,10.8,5.59,0.0,990.97,6.55,2.83,9.56,79.19,0.89
S_Nicola_di_Melfi,41.069444,15.7225,06/01/2021 18:00,0.36,318.0,13.04,9.72,2.9,50.72,12.6,5.4,0.0,990.99,2.65,2.59,8.76,86.5,0.33
S_Nicola_di_Melfi,41.069444,15.7225,06/01/2021 19:00,0.39,308.0,15.25,9.51,1.54,45.08,9.3,4.69,0.0,991.26,2.66,2.13,8.38,89.31,0.76
S_Nicola_di_Melfi,41.069444,15.7225,06/01/2021 20:00,0.4,288.0,10.79,7.1,1.46,51.75,7.0,3.7,0.0,991.21,2.59,2.24,7.99,89.04,0.82
S_Nicola_di_Melfi,41.069444,15.7225,06/01/2021 21:00,0.38,180.0,11.48,7.58,1.58,39.03,8.6,5.0,0.0,991.42,2.51,2.41,7.52,91.44,0.63
S_Nicola_di_Melfi,41.069444,15.7225,06/01/2021 22:00,0.39,299.0,11.74,8.01,1.87,41.79,6.6,4.8,0.0,991.36,2.64,2.03,7.61,92.03,0.58
