Stazione,Latitudine,Longitudine,Data_Ora,Benzene (µg/m³),CO (mg/m³),Direzione_Vento (°N),Etilbenzene (µg/m³),H2S (µg/m³),Metano (ugC/m³),NMHC (ugC/m³),NO2 (µg/m³),NOx (µg/m³),NO (µg/m³),o-Xilene (µg/m³),O3 (µg/m³),PM10 (µg/m³),PM2-5 (µg/m³),Precipitazione (mm),Pressione (hPa),Radiazione_Globale (W/m²),Radiazione_Netta (W/m²),SO2 (µg/m³),Temperatura (°C),Toluene (µg/m³),Umidità_Relativa (%),Velocità_Vento (m/s),Xilene (µg/m³)
Grumento3,40.313888,15.904444,27/08/2022 02:00,0.21,0.33,275.0,0.06,2.58,973.07,26.96,5.17,9.93,3.1,0.03,81.25,,,0.0,923.69,0.0,-24.32,2.29,17.61,0.1,90.39,2.19,0.04
Grumento3,40.313888,15.904444,27/08/2022 03:00,0.21,0.33,244.0,0.06,2.35,966.34,24.34,4.07,7.61,2.31,0.03,88.77,,,0.0,923.58,0.0,-22.66,2.94,17.75,0.1,91.54,2.09,0.04
Grumento3,40.313888,15.904444,27/08/2022 04:00,0.2,0.32,245.0,0.06,2.52,968.99,24.49,3.86,7.07,2.09,0.03,94.43,,,0.0,923.44,0.0,-23.26,2.06,17.74,0.1,88.15,2.82,0.04
Grumento3,40.313888,15.904444,27/08/2022 05:00,0.24,0.31,245.0,0.06,2.71,1034.579,3.55,6.01,14.06,5.25,0.03,89.7,,,0.0,923.25,0.0,-24.72,1.96,16.75,0.1,92.8,2.58,0.04
Grumento3,40.313888,15.904444,27/08/2022 06:00,0.19,0.3,242.0,0.06,2.42,1020.82,14.72,3.48,6.25,1.81,0.03,101.44,,,0.0,923.63,1.47,-37.0,2.84,17.46,0.1,87.56,4.68,0.04
Grumento3,40.313888,15.904444,27/08/2022 07:00,0.21,0.29,249.0,0.05,2.53,1022.24,18.38,3.79,6.63,1.85,0.03,107.71,,,0.0,923.93,53.44,-80.02,3.85,18.11,0.1,82.19,3.77,0.04
Grumento3,40.313888,15.904444,27/08/2022 08:00,0.23,0.4,252.0,0.05,2.65,1034.2,18.94,3.55,6.43,1.88,0.03,102.37,,,0.0,924.12,108.86,-37.55,4.12,18.91,0.1,78.43,4.33,0.03
Grumento3,40.313888,15.904444,27/08/2022 09:00,0.26,0.43,254.0,0.05,2.46,1017.41,18.24,3.72,6.94,2.1,0.03,107.62,,,0.0,924.13,260.19,107.77,3.67,20.99,0.1,68.43,5.25,0.03
Grumento3,40.313888,15.904444,27/08/2022 10:00,0.19,0.43,253.0,0.05,2.51,1012.12,19.09,3.72,6.89,2.07,0.03,111.06,,,0.0,924.43,188.06,296.46,3.32,22.86,0.1,60.6,5.59,0.03
Grumento3,40.313888,15.904444,27/08/2022 11:00,0.21,0.41,251.0,0.05,2.46,1010.02,19.48,3.84,7.3,2.26,0.03,115.36,,,0.0,924.48,269.91,271.09,2.91,24.1,0.1,56.98,6.86,0.03
Grumento3,40.313888,15.904444,27/08/2022 12:00,0.2,0.43,247.0,0.05,2.36,1006.08,16.76,3.93,7.44,2.29,0.03,109.42,,,0.0,924.56,259.13,82.24,2.75,24.23,0.1,59.21,7.01,0.03
Grumento3,40.313888,15.904444,27/08/2022 13:00,0.26,0.41,232.0,0.07,2.72,-9999.0,-9999.0,3.57,6.65,2.01,0.05,114.28,,,0.0,924.65,231.73,105.59,5.23,23.97,0.12,61.97,5.84,0.05
Grumento3,40.313888,15.904444,27/08/2022 14:00,0.33,0.44,230.0,0.08,2.78,1113.28,9.22,-9999.0,-9999.0,-9999.0,0.06,114.05,,,0.0,924.54,543.96,298.99,9.16,25.06,0.13,57.55,4.81,0.06
Grumento3,40.313888,15.904444,27/08/2022 15:00,0.35,0.45,243.0,0.06,2.53,947.24,16.77,3.66,6.73,2.0,0.04,120.03,,,0.0,924.19,734.67,736.29,4.7,26.53,0.2,53.99,6.71,0.05
Grumento3,40.313888,15.904444,27/08/2022 16:00,0.26,0.46,251.0,0.05,2.32,925.26,15.48,3.57,6.49,1.9,0.03,117.78,,,0.0,924.27,572.15,667.84,2.28,25.86,0.14,55.56,7.28,0.04
