Stazione,Latitudine,Longitudine,Data_Ora,CO (mg/m³),Direzione_Vento (°N),NO2 (µg/m³),NOx (ppb),NO (ppb),O3 (µg/m³),PM10 (µg/m³),Precipitazione (mm),Pressione (mBar),Radiazione_Globale (W/m²),SO2 (µg/m³),Temperatura (°C),Umidità_Relativa (%),Velocità_Vento (m/s)
Melfi,40.983888,15.639722,02/01/2021 02:00,0.34,164.0,5.48,4.56,1.7,81.94,6.83,0.0,947.19,0.19,5.48,7.86,68.4,3.7
Melfi,40.983888,15.639722,02/01/2021 03:00,0.38,167.0,4.47,4.05,1.71,83.71,6.24,0.0,947.21,0.19,4.43,8.28,63.92,3.9
Melfi,40.983888,15.639722,02/01/2021 04:00,0.28,168.0,4.85,4.38,1.85,84.06,6.33,0.0,946.47,0.19,5.76,8.039,62.15,3.48
Melfi,40.983888,15.639722,02/01/2021 05:00,0.26,160.0,4.02,3.6,1.5,85.91,2.0,0.0,945.87,0.19,5.8,7.95,62.66,3.77
Melfi,40.983888,15.639722,02/01/2021 06:00,0.2,158.0,7.54,5.72,1.78,80.15,10.07,0.0,945.53,0.19,6.07,7.89,64.56,2.89
Melfi,40.983888,15.639722,02/01/2021 07:00,0.28,172.0,4.7,4.22,1.77,88.67,2.89,0.2,945.4,0.19,6.06,7.77,69.34,5.19
Melfi,40.983888,15.639722,02/01/2021 08:00,0.38,178.0,4.51,4.07,1.71,84.31,7.33,0.6,945.49,5.73,5.96,7.67,76.61,4.14
Melfi,40.983888,15.639722,02/01/2021 09:00,0.45,176.0,5.84,5.02,1.96,81.8,8.66,0.8,945.08,42.11,5.66,7.66,82.29,4.4
Melfi,40.983888,15.639722,02/01/2021 10:00,0.5,173.0,4.47,4.38,2.04,82.73,7.82,0.0,944.9,198.76,5.78,9.68,70.82,4.9
Melfi,40.983888,15.639722,02/01/2021 11:00,0.41,181.0,5.2,5.07,2.35,82.4,9.22,0.0,945.13,53.93,5.87,9.87,69.68,3.62
Melfi,40.983888,15.639722,02/01/2021 12:00,0.52,175.0,10.51,8.33,2.83,74.08,12.25,0.0,944.84,63.05,5.98,10.45,67.7,1.7
Melfi,40.983888,15.639722,02/01/2021 13:00,0.52,169.0,9.05,6.91,2.18,83.88,36.77,3.8,944.89,40.41,6.35,9.23,75.58,2.69
Melfi,40.983888,15.639722,02/01/2021 14:00,0.5,222.0,6.83,5.56,1.99,90.11,39.68,4.4,944.6,33.58,6.07,7.6,79.49,4.6
Melfi,40.983888,15.639722,02/01/2021 15:00,0.59,189.0,4.5,3.93,1.58,94.11,8.53,0.8,944.31,43.48,6.81,9.2,64.54,4.32
Melfi,40.983888,15.639722,02/01/2021 16:00,0.61,181.0,5.44,4.65,1.81,89.64,3.47,0.0,944.57,47.9,6.61,9.06,69.13,3.78
Melfi,40.983888,15.639722,02/01/2021 17:00,0.66,215.0,7.24,6.02,2.23,88.19,5.01,0.0,944.43,7.02,6.26,9.0,68.62,3.61
Melfi,40.983888,15.639722,02/01/2021 18:00,0.61,222.0,7.16,5.63,1.88,85.45,9.83,0.2,944.72,0.2,6.47,8.86,68.23,3.72
Melfi,40.983888,15.639722,02/01/2021 19:00,0.52,220.0,8.85,6.37,1.73,-9999.0,12.2,0.0,945.12,0.21,6.66,8.92,62.13,3.19
Melfi,40.983888,15.639722,02/01/2021 20:00,0.63,227.0,8.85,6.57,1.94,85.96,3.3,0.0,945.4,0.19,6.39,8.52,61.35,2.79
Melfi,40.983888,15.639722,02/01/2021 21:00,0.55,215.0,7.69,6.14,2.12,87.28,16.22,0.0,945.12,0.19,6.77,8.5,59.51,3.75
Melfi,40.983888,15.639722,02/01/2021 22:00,0.52,222.0,5.83,5.1,2.05,91.73,10.19,0.0,944.85,0.19,6.6,8.65,57.48,5.32
Melfi,40.983888,15.639722,02/01/2021 23:00,0.51,222.0,5.35,4.55,1.75,89.1,7.86,0.0,945.26,0.19,6.32,8.39,58.69,4.44
Melfi,40.983888,15.639722,03/01/2021 00:00,0.46,233.0,8.61,6.09,1.59,83.93,6.69,0.0,945.87,0.19,6.4,7.63,61.11,2.14
Melfi,40.983888,15.639722,03/01/2021 01:00,0.59,224.0,6.84,4.94,1.36,67.34,5.19,0.0,945.99,0.19,6.7,5.31,72.41,0.99
Melfi,40.983888,15.639722,03/01/2021 02:00,0.56,234.0,7.19,5.52,1.76,70.37,8.53,0.0,945.65,0.19,5.55,5.37,72.86,1.52
Melfi,40.983888,15.639722,03/01/2021 03:00,0.48,19.0,9.07,6.52,1.77,77.71,13.19,0.0,945.88,0.19,4.87,6.54,64.76,1.03
Melfi,40.983888,15.639722,03/01/2021 04:00,0.48,269.0,7.73,5.78,1.73,65.06,16.6,0.0,945.96,0.19,4.83,5.27,72.05,1.28
Melfi,40.983888,15.639722,03/01/2021 05:00,0.54,301.0,7.7,5.92,1.9,66.72,15.18,0.0,945.76,0.19,4.69,5.07,76.17,0.95
Melfi,40.983888,15.639722,03/01/2021 06:00,0.65,283.0,9.26,6.83,1.99,69.99,14.58,0.0,945.87,0.19,4.67,5.26,76.48,1.67
Melfi,40.983888,15.639722,03/01/2021 07:00,0.65,246.0,7.36,5.65,1.81,82.37,25.98,0.0,946.5,0.19,4.78,5.91,76.98,2.61
Melfi,40.983888,15.639722,03/01/2021 08:00,0.66,163.0,10.64,8.04,2.48,81.29,30.42,0.0,946.59,6.89,5.42,5.79,75.42,2.37
Melfi,40.983888,15.639722,03/01/2021 09:00,0.59,286.0,10.7,7.97,2.38,76.74,28.9,0.2,947.1,54.44,5.35,6.23,76.28,2.31
Melfi,40.983888,15.639722,03/01/2021 10:00,0.63,229.0,6.28,5.1,1.81,81.18,43.16,0.4,947.5,214.48,6.72,6.5,75.71,3.33
Melfi,40.983888,15.639722,03/01/2021 11:00,0.66,182.0,6.69,5.87,2.37,80.42,28.96,0.0,947.14,357.5,6.12,9.05,60.15,2.25
Melfi,40.983888,15.639722,03/01/2021 12:00,0.55,108.0,7.4,5.97,2.1,86.12,13.22,0.0,946.61,184.87,5.62,9.3,57.84,1.57
Melfi,40.983888,15.639722,03/01/2021 13:00,0.54,272.0,8.42,6.42,2.02,83.27,19.1,1.6,946.77,83.9,6.35,8.94,63.42,3.08
Melfi,40.983888,15.639722,03/01/2021 14:00,0.6,240.0,6.81,5.44,1.87,88.75,15.31,5.0,946.85,133.63,6.34,5.38,83.54,4.08
Melfi,40.983888,15.639722,03/01/2021 15:00,0.53,228.0,6.23,5.11,1.86,83.17,14.9,0.0,946.11,257.279,6.08,7.55,69.4,2.88
Melfi,40.983888,15.639722,03/01/2021 16:00,0.59,227.0,7.42,6.22,2.34,86.59,22.03,1.8,947.04,34.46,5.88,6.62,69.77,4.11
Melfi,40.983888,15.639722,03/01/2021 17:00,0.81,259.0,7.96,6.22,2.06,82.09,16.19,0.2,947.45,10.91,5.82,4.34,83.54,2.87
Melfi,40.983888,15.639722,03/01/2021 18:00,0.72,228.0,8.22,6.46,2.17,-9999.0,9.97,0.0,947.04,0.22,5.5,5.54,67.19,3.26
Melfi,40.983888,15.639722,03/01/2021 19:00,0.71,228.0,7.17,5.59,1.84,83.41,17.17,0.2,947.13,0.19,6.1,6.14,61.38,3.75
Melfi,40.983888,15.639722,03/01/2021 20:00,0.66,223.0,7.17,5.64,1.9,83.81,12.29,0.0,947.2,0.19,5.48,6.47,60.36,3.82
Melfi,40.983888,15.639722,03/01/2021 21:00,0.68,221.0,6.44,5.28,1.91,85.76,15.52,0.0,946.76,0.19,6.1,6.86,61.44,4.29
Melfi,40.983888,15.639722,03/01/2021 22:00,0.63,222.0,5.6,4.63,1.7,83.07,12.16,0.0,946.22,0.19,6.0,7.56,55.7,5.62
Melfi,40.983888,15.639722,03/01/2021 23:00,0.43,234.0,6.21,5.13,1.89,84.72,9.39,0.0,946.28,0.19,5.82,7.64,49.96,3.71
Melfi,40.983888,15.639722,04/01/2021 00:00,0.37,201.0,6.62,5.28,1.82,84.52,7.08,0.0,946.51,0.19,5.28,7.07,52.7,2.42
Melfi,40.983888,15.639722,04/01/2021 01:00,0.44,221.0,6.16,5.13,1.9,85.42,12.04,0.0,946.42,0.19,5.95,6.67,57.03,2.07
Melfi,40.983888,15.639722,04/01/2021 02:00,0.48,2.0,7.99,5.94,1.76,76.6,23.67,0.0,946.31,0.19,5.5,5.83,61.72,0.85
Melfi,40.983888,15.639722,04/01/2021 03:00,0.6,260.0,9.22,6.72,1.9,72.17,8.8,0.0,946.4,0.19,5.34,5.19,66.98,1.89
Melfi,40.983888,15.639722,04/01/2021 04:00,0.36,179.0,5.3,4.68,1.9,61.0,5.48,0.0,945.95,0.19,5.75,4.0,73.53,1.13
Melfi,40.983888,15.639722,04/01/2021 05:00,0.56,249.0,6.75,5.29,1.76,52.65,7.86,0.0,945.61,0.19,5.27,3.81,76.37,0.82
Melfi,40.983888,15.639722,04/01/2021 06:00,0.52,259.0,7.17,5.66,1.91,73.07,6.86,0.0,945.55,0.19,5.28,4.77,74.37,3.02
Melfi,40.983888,15.639722,04/01/2021 07:00,0.51,165.0,8.92,7.45,2.79,71.42,3.36,0.0,945.31,0.19,5.58,5.28,71.68,0.79
Melfi,40.983888,15.639722,04/01/2021 08:00,0.57,239.0,10.54,7.81,2.3,48.62,10.27,0.0,945.42,4.53,5.94,4.72,75.14,0.97
Melfi,40.983888,15.639722,04/01/2021 09:00,0.61,261.0,13.77,9.62,2.42,51.8,15.72,0.0,945.56,57.36,5.8,4.96,75.35,2.3
Melfi,40.983888,15.639722,04/01/2021 10:00,0.62,292.0,7.55,6.13,2.18,66.61,11.54,0.0,945.51,167.61,6.21,6.7,68.34,1.46
Melfi,40.983888,15.639722,04/01/2021 11:00,0.54,278.0,12.45,9.33,2.82,69.8,13.69,0.0,945.38,378.38,5.65,8.24,61.36,2.21
Melfi,40.983888,15.639722,04/01/2021 12:00,0.44,266.0,8.06,6.24,2.03,79.66,10.02,0.0,944.76,436.81,6.37,9.08,57.57,2.88
Melfi,40.983888,15.639722,04/01/2021 13:00,0.49,269.0,9.22,7.06,2.24,79.43,12.57,0.0,944.11,450.72,5.66,9.27,58.57,3.83
Melfi,40.983888,15.639722,04/01/2021 14:00,0.45,270.0,9.16,6.69,1.9,81.68,11.85,0.0,943.68,392.4,6.01,9.66,56.23,3.63
Melfi,40.983888,15.639722,04/01/2021 15:00,0.42,266.0,8.95,6.8,2.12,82.14,13.87,0.0,943.91,276.26,6.48,9.48,57.29,3.54
Melfi,40.983888,15.639722,04/01/2021 16:00,0.44,274.0,9.43,7.19,2.26,79.56,16.7,0.0,944.36,75.06,6.23,8.63,61.24,2.75
Melfi,40.983888,15.639722,04/01/2021 17:00,0.52,284.0,12.58,8.65,2.07,-9999.0,15.4,0.0,944.84,10.94,6.44,7.41,64.34,2.97
Melfi,40.983888,15.639722,04/01/2021 18:00,0.55,279.0,14.83,10.11,2.36,75.32,15.17,0.0,945.28,0.2,6.34,6.23,70.03,2.75
Melfi,40.983888,15.639722,04/01/2021 19:00,0.44,267.0,14.45,9.39,1.83,71.06,18.64,0.0,945.71,0.2,5.64,5.85,74.55,3.1
Melfi,40.983888,15.639722,04/01/2021 20:00,0.6,271.0,13.18,8.79,1.89,69.35,14.17,0.0,945.97,0.2,6.08,5.38,71.71,2.67
Melfi,40.983888,15.639722,04/01/2021 21:00,0.59,259.0,11.37,7.79,1.85,73.44,14.87,0.0,946.09,0.2,6.69,5.55,70.13,3.35
Melfi,40.983888,15.639722,04/01/2021 22:00,0.65,279.0,12.81,8.82,2.12,71.36,7.82,0.0,946.25,0.2,5.94,5.24,70.26,2.68
Melfi,40.983888,15.639722,04/01/2021 23:00,0.49,273.0,13.19,8.71,1.81,74.04,9.28,0.0,946.37,0.2,6.48,5.4,67.52,3.36
Melfi,40.983888,15.639722,05/01/2021 00:00,0.52,272.0,13.83,9.18,1.95,71.02,11.37,0.0,946.48,0.2,6.14,4.72,72.56,2.91
Melfi,40.983888,15.639722,05/01/2021 01:00,0.55,264.0,10.61,7.51,1.96,69.51,7.64,0.0,946.45,0.2,6.03,4.36,75.72,2.99
Melfi,40.983888,15.639722,05/01/2021 02:00,0.54,279.0,9.95,7.12,1.91,65.54,7.41,0.0,946.74,0.2,5.91,3.89,76.46,1.99
Melfi,40.983888,15.639722,05/01/2021 03:00,0.65,1.0,8.61,6.4,1.9,59.11,9.74,0.0,946.89,0.2,5.64,3.41,79.51,0.5
Melfi,40.983888,15.639722,05/01/2021 04:00,0.37,268.0,8.13,6.12,1.86,57.99,10.95,0.0,946.83,0.2,5.75,3.21,79.82,0.97
Melfi,40.983888,15.639722,05/01/2021 05:00,0.37,256.0,7.34,5.68,1.84,61.9,16.13,0.0,946.69,0.2,5.46,3.25,82.91,1.47
Melfi,40.983888,15.639722,05/01/2021 06:00,0.37,290.0,7.83,6.07,1.98,69.83,19.13,0.0,946.42,0.2,5.54,3.93,80.8,1.31
Melfi,40.983888,15.639722,05/01/2021 07:00,0.31,241.0,7.41,5.94,2.06,80.78,-9999.0,0.0,946.28,0.2,5.22,6.43,66.96,2.39
Melfi,40.983888,15.639722,05/01/2021 08:00,0.23,74.0,12.88,9.05,2.31,70.55,5.91,0.0,946.39,11.3,5.26,6.14,68.12,1.24
Melfi,40.983888,15.639722,05/01/2021 09:00,0.26,82.0,13.95,9.98,2.69,70.64,19.16,0.0,946.72,34.7,5.68,6.46,69.25,1.38
Melfi,40.983888,15.639722,05/01/2021 10:00,0.22,229.0,8.43,6.88,2.47,76.91,10.17,0.0,946.76,95.53,6.11,7.7,64.18,2.84
Melfi,40.983888,15.639722,05/01/2021 11:00,0.16,207.0,5.96,5.0,1.88,79.47,8.42,0.0,946.86,166.38,6.7,8.36,61.75,2.61
Melfi,40.983888,15.639722,05/01/2021 12:00,0.17,214.0,5.19,4.7,1.99,78.26,9.27,0.0,946.57,238.68,6.22,8.61,63.12,3.1
Melfi,40.983888,15.639722,05/01/2021 13:00,0.2,230.0,6.08,5.36,2.18,78.32,7.28,0.0,946.08,126.28,6.34,8.0,65.069,3.27
Melfi,40.983888,15.639722,05/01/2021 14:00,0.17,110.0,8.22,6.26,1.96,81.36,3.89,0.0,945.59,117.13,5.9,8.3,61.72,1.9
Melfi,40.983888,15.639722,05/01/2021 15:00,0.15,98.0,6.77,5.61,2.07,85.8,8.8,0.0,945.16,195.32,6.07,9.17,56.18,1.5
Melfi,40.983888,15.639722,05/01/2021 16:00,0.3,30.0,8.0,6.17,1.99,-9999.0,7.97,0.0,945.35,105.81,5.58,9.18,52.83,2.0
Melfi,40.983888,15.639722,05/01/2021 17:00,0.36,207.0,6.85,5.54,1.96,88.08,6.16,0.0,945.33,13.06,6.03,8.62,51.63,2.73
Melfi,40.983888,15.639722,05/01/2021 18:00,0.34,228.0,10.4,8.49,3.05,89.94,8.78,0.0,945.65,0.2,6.03,8.4,54.31,2.4
Melfi,40.983888,15.639722,05/01/2021 19:00,0.33,177.0,7.07,5.53,1.83,91.73,8.92,0.0,945.57,0.2,5.42,7.81,60.58,3.07
Melfi,40.983888,15.639722,05/01/2021 20:00,0.35,181.0,6.96,5.77,2.13,91.34,9.64,0.0,945.69,0.2,6.08,7.53,64.66,3.8
Melfi,40.983888,15.639722,05/01/2021 21:00,0.34,162.0,7.49,5.7,1.78,86.18,17.03,0.0,945.52,0.2,7.34,7.5,65.91,2.72
Melfi,40.983888,15.639722,05/01/2021 22:00,0.33,226.0,6.32,5.04,1.74,82.68,29.24,0.0,945.17,0.2,6.37,8.05,60.05,3.44
Melfi,40.983888,15.639722,05/01/2021 23:00,0.35,224.0,6.59,5.55,2.11,84.17,11.74,0.0,945.33,0.2,6.3,8.58,59.25,3.46
Melfi,40.983888,15.639722,06/01/2021 00:00,0.31,185.0,6.24,5.14,1.88,87.85,25.98,0.0,945.75,0.2,6.47,9.0,60.42,3.18
Melfi,40.983888,15.639722,06/01/2021 01:00,0.3,248.0,6.83,5.3,1.73,81.93,32.66,0.0,945.63,0.2,6.71,8.59,66.05,3.54
Melfi,40.983888,15.639722,06/01/2021 02:00,0.5,269.0,7.89,5.8,1.68,83.81,19.1,1.4,946.12,0.2,6.33,7.5,75.52,3.62
Melfi,40.983888,15.639722,06/01/2021 03:00,0.48,312.0,6.99,5.39,1.74,80.15,9.42,0.4,946.33,0.2,5.6,7.29,80.07,1.69
Melfi,40.983888,15.639722,06/01/2021 04:00,0.41,327.0,8.03,6.12,1.93,73.67,9.77,0.2,946.7,0.2,5.76,6.73,86.65,1.45
Melfi,40.983888,15.639722,06/01/2021 05:00,0.51,292.0,10.07,6.93,1.67,70.54,11.38,0.0,946.76,0.2,5.34,6.27,88.02,1.89
Melfi,40.983888,15.639722,06/01/2021 06:00,0.57,278.0,9.21,6.48,1.67,76.29,9.0,0.4,947.34,0.2,5.35,6.38,84.97,2.66
Melfi,40.983888,15.639722,06/01/2021 07:00,0.56,259.0,8.99,6.6,1.89,80.22,10.74,0.0,946.88,0.2,5.49,6.22,81.75,4.23
Melfi,40.983888,15.639722,06/01/2021 08:00,0.38,254.0,7.2,5.45,1.68,78.78,10.18,0.0,947.07,6.16,5.14,7.31,68.96,4.019
Melfi,40.983888,15.639722,06/01/2021 09:00,0.4,234.0,8.17,6.53,2.26,78.65,7.94,0.0,948.0,48.55,5.36,7.94,67.86,2.93
Melfi,40.983888,15.639722,06/01/2021 10:00,0.54,237.0,6.72,5.64,2.13,79.81,13.2,1.8,948.95,79.96,5.89,6.62,79.63,4.63
Melfi,40.983888,15.639722,06/01/2021 11:00,0.55,222.0,6.81,5.73,2.17,71.88,23.04,0.2,949.25,130.5,5.92,6.9,81.12,2.2
Melfi,40.983888,15.639722,06/01/2021 12:00,0.58,229.0,6.4,5.11,1.76,71.36,11.44,0.6,948.91,123.4,5.72,7.43,79.88,2.13
Melfi,40.983888,15.639722,06/01/2021 13:00,0.56,191.0,7.89,6.35,2.22,70.21,12.06,0.0,948.31,130.07,5.93,7.56,79.17,2.16
Melfi,40.983888,15.639722,06/01/2021 14:00,0.58,227.0,8.38,7.05,2.67,71.17,10.87,0.0,948.04,130.49,5.66,7.94,77.09,2.39
Melfi,40.983888,15.639722,06/01/2021 15:00,0.47,259.0,8.44,6.45,2.03,-9999.0,5.83,0.6,948.32,57.1,6.46,7.34,82.7,2.39
Melfi,40.983888,15.639722,06/01/2021 16:00,0.66,229.0,7.44,5.98,2.09,69.13,9.77,0.2,948.22,35.45,6.11,7.21,83.27,1.69
Melfi,40.983888,15.639722,06/01/2021 17:00,0.91,327.0,8.44,6.56,2.15,54.49,12.27,1.0,948.24,3.99,6.55,6.91,84.53,0.57
Melfi,40.983888,15.639722,06/01/2021 18:00,1.08,352.0,18.81,12.11,2.27,44.51,19.95,0.4,948.15,0.2,6.62,6.28,89.55,1.21
Melfi,40.983888,15.639722,06/01/2021 19:00,0.94,309.0,10.6,7.5,1.96,54.7,13.19,0.6,948.34,0.2,6.14,6.12,91.67,1.14
Melfi,40.983888,15.639722,06/01/2021 20:00,0.84,288.0,7.57,5.74,1.78,57.33,7.89,0.2,948.3,0.2,6.01,6.0,91.95,0.91
Melfi,40.983888,15.639722,06/01/2021 21:00,0.71,319.0,7.81,6.24,2.15,65.86,5.34,0.2,948.47,0.2,5.47,6.37,90.81,0.83
Melfi,40.983888,15.639722,06/01/2021 22:00,0.78,308.0,7.94,5.89,1.74,66.29,13.62,0.4,948.45,0.2,5.26,6.42,90.34,1.12
Melfi,40.983888,15.639722,06/01/2021 23:00,0.81,348.0,7.94,5.96,1.81,72.17,23.83,0.4,948.52,0.2,5.06,6.7,90.06,1.51
Melfi,40.983888,15.639722,07/01/2021 00:00,1.03,0.0,10.18,7.25,1.93,54.68,31.34,0.0,948.51,0.2,5.19,6.5,90.54,0.5
Melfi,40.983888,15.639722,07/01/2021 01:00,0.98,306.0,7.74,5.7,1.65,50.03,23.16,0.2,948.93,0.2,5.34,6.46,91.54,0.49
Melfi,40.983888,15.639722,07/01/2021 02:00,1.08,179.0,7.53,5.84,1.9,44.3,12.32,0.2,949.35,0.2,4.79,6.26,92.42,0.81
Melfi,40.983888,15.639722,07/01/2021 03:00,0.93,215.0,6.93,5.66,2.04,36.8,16.23,0.4,949.43,0.2,5.46,6.08,93.37,0.4
Melfi,40.983888,15.639722,07/01/2021 04:00,0.59,265.0,6.44,5.3,1.93,56.62,16.16,0.0,949.06,0.2,5.72,6.21,93.53,1.58
Melfi,40.983888,15.639722,07/01/2021 05:00,0.51,265.0,7.6,5.92,1.95,58.09,12.69,0.0,948.9,0.2,6.07,6.01,92.52,2.009
Melfi,40.983888,15.639722,07/01/2021 06:00,0.61,174.0,9.29,6.8,1.94,56.88,6.86,0.0,948.94,0.2,5.57,5.94,91.5,1.12
Melfi,40.983888,15.639722,07/01/2021 07:00,0.64,179.0,8.04,6.1,1.9,45.85,8.86,0.0,948.87,0.2,6.11,5.66,92.09,0.74
Melfi,40.983888,15.639722,07/01/2021 08:00,0.65,239.0,11.57,8.66,2.61,31.8,10.76,0.0,949.01,7.16,6.75,5.58,92.67,0.31
Melfi,40.983888,15.639722,07/01/2021 09:00,0.78,282.0,14.02,11.9,4.57,35.2,12.84,0.0,949.52,37.47,7.38,6.27,93.17,0.73
Melfi,40.983888,15.639722,07/01/2021 10:00,0.83,357.0,15.42,10.76,2.7,43.56,19.54,0.0,949.56,105.88,6.95,6.99,93.23,0.48
Melfi,40.983888,15.639722,07/01/2021 11:00,0.78,90.0,13.2,10.11,3.21,52.02,22.92,0.0,949.36,131.6,7.34,7.47,92.34,1.27
Melfi,40.983888,15.639722,07/01/2021 12:00,0.86,104.0,13.94,10.57,3.29,47.23,19.92,0.0,949.0,105.51,7.49,7.13,92.41,1.1
Melfi,40.983888,15.639722,07/01/2021 13:00,0.93,93.0,14.2,10.24,2.81,50.27,17.7,0.0,948.13,106.55,6.35,7.14,92.61,1.42
Melfi,40.983888,15.639722,07/01/2021 14:00,1.04,93.0,14.42,9.73,2.19,-9999.0,14.74,0.2,947.31,39.51,-9999.0,6.49,93.23,1.29
Melfi,40.983888,15.639722,07/01/2021 15:00,0.98,76.0,17.49,11.62,2.47,50.05,11.78,1.8,947.25,30.11,3.06,6.13,93.98,1.2
Melfi,40.983888,15.639722,07/01/2021 16:00,0.53,83.0,17.96,11.76,2.37,47.87,17.1,1.4,947.15,11.57,3.79,5.98,94.96,1.35
Melfi,40.983888,15.639722,07/01/2021 17:00,0.69,106.0,17.66,11.59,2.36,-9999.0,19.73,0.6,947.08,2.63,3.46,5.99,95.78,0.99
Melfi,40.983888,15.639722,07/01/2021 18:00,0.7,85.0,21.57,13.22,1.94,37.99,12.39,0.6,946.81,0.12,3.27,6.1,96.16,0.7
Melfi,40.983888,15.639722,07/01/2021 19:00,0.68,95.0,19.47,12.34,2.16,42.77,13.58,0.2,946.93,0.12,3.85,6.15,96.66,0.78
Melfi,40.983888,15.639722,07/01/2021 20:00,0.69,85.0,17.06,11.01,2.09,44.91,12.76,1.0,946.87,0.12,4.59,6.13,97.47,1.3
Melfi,40.983888,15.639722,07/01/2021 21:00,0.73,85.0,15.76,10.64,2.4,44.95,12.83,0.2,946.06,0.12,4.61,5.86,98.07,1.65
Melfi,40.983888,15.639722,07/01/2021 22:00,0.83,85.0,12.96,8.9,2.12,48.31,12.5,0.0,945.54,0.12,3.93,5.75,98.83,1.82
