Stazione,Latitudine,Longitudine,Data_Ora,Benzene (µg/m³),CO (mg/m³),Direzione_Vento (°N),Etilbenzene (µg/m³),m-Xilene (µg/m³),Metano (ppm),NMHC (ppm),NO2 (µg/m³),NOx (ppb),NO (ppb),o-Xilene (µg/m³),O3 (µg/m³),p-Xilene (µg/m³),PM10 (µg/m³),Precipitazione (mm),Pressione (mBar),Radiazione_Globale (W/m²),SO2 (µg/m³),Temperatura (°C),Toluene (µg/m³),Umidità_Relativa (%),Velocità_Vento (m/s)
Pisticci,40.420277,16.548333,06/02/2021 11:00,0.91,0.71,134.25,0.15,0.21,1.72,0.1,12.79,10.06,3.35,0.01,51.6,0.21,,0.0,1009.88,271.89,4.51,13.33,1.31,93.84,0.7
Pisticci,40.420277,16.548333,06/02/2021 12:00,0.79,0.61,157.33,0.08,0.18,1.71,0.1,8.24,6.67,2.41,0.01,57.61,0.23,,0.0,1009.5,201.4,5.11,13.89,2.13,90.67,0.54
Pisticci,40.420277,16.548333,06/02/2021 13:00,0.8,0.65,89.64,0.07,0.08,1.7,0.11,6.63,5.8,2.31,0.01,59.46,0.1,,0.0,1008.83,270.18,5.77,15.52,2.67,86.36,1.21
Pisticci,40.420277,16.548333,06/02/2021 14:00,0.96,0.58,89.6,0.17,0.15,1.7,0.12,6.31,5.62,2.29,0.01,59.73,0.21,,0.0,1008.35,146.02,3.26,14.99,1.95,85.55,2.009
Pisticci,40.420277,16.548333,06/02/2021 15:00,0.93,0.81,89.55,0.16,0.02,1.69,0.11,6.16,5.06,1.85,0.02,61.54,0.16,,0.0,1007.57,260.32,2.75,15.23,0.86,85.96,1.96
Pisticci,40.420277,16.548333,06/02/2021 16:00,0.88,0.82,89.57,0.15,0.06,1.7,0.11,5.76,4.8,1.79,0.01,-9999.0,0.1,,0.0,1007.21,172.61,3.96,14.97,0.66,86.09,1.82
Pisticci,40.420277,16.548333,06/02/2021 17:00,0.82,0.75,112.65,0.15,0.05,1.7,0.11,7.96,6.31,2.19,0.01,61.53,0.02,,0.0,1007.22,36.22,-9999.0,13.98,0.58,88.76,1.55
Pisticci,40.420277,16.548333,06/02/2021 18:00,0.93,0.69,113.62,0.16,0.07,1.71,0.12,9.69,7.3,2.25,0.01,59.68,0.15,,0.0,1007.45,0.01,4.48,13.71,0.64,91.07,0.71
Pisticci,40.420277,16.548333,06/02/2021 19:00,1.03,0.6,113.47,0.1,0.1,1.69,0.1,7.99,6.34,2.14,0.02,68.74,0.31,,0.0,1007.71,0.0,4.86,13.52,1.1,92.22,0.66
Pisticci,40.420277,16.548333,06/02/2021 20:00,0.91,0.66,157.57,0.19,0.03,1.69,0.1,7.55,-9999.0,-9999.0,0.06,73.35,0.23,,0.0,1007.6,0.0,2.43,13.44,0.85,92.96,0.55
Pisticci,40.420277,16.548333,06/02/2021 21:00,0.81,0.7,112.12,0.15,0.14,1.69,0.11,9.11,6.88,2.13,0.01,72.52,0.18,,0.0,1007.27,0.0,4.81,13.48,0.72,93.62,0.25
Pisticci,40.420277,16.548333,06/02/2021 22:00,0.82,0.55,202.87,0.02,0.24,1.75,0.11,12.51,8.28,1.72,0.01,61.06,0.09,,0.0,1007.01,0.0,2.72,13.5,0.68,93.88,0.01
Pisticci,40.420277,16.548333,06/02/2021 23:00,0.8,0.47,246.49,0.14,0.3,1.75,0.11,11.19,7.96,2.1,0.01,62.13,0.1,,0.0,1006.53,0.0,6.15,13.56,0.68,94.22,0.29
Pisticci,40.420277,16.548333,07/02/2021 00:00,0.77,0.73,247.1,0.02,0.25,1.69,0.1,6.14,4.64,1.43,0.01,63.91,0.08,,0.0,1006.13,0.0,4.16,13.5,0.68,94.96,0.19
Pisticci,40.420277,16.548333,07/02/2021 01:00,0.76,0.72,224.21,0.08,0.13,1.77,0.11,5.75,4.54,1.52,0.01,61.55,0.12,,0.0,1006.18,0.0,5.98,13.52,0.59,95.6,0.22
Pisticci,40.420277,16.548333,07/02/2021 02:00,0.76,0.69,202.11,0.13,0.25,1.76,0.12,5.85,4.51,1.45,0.01,56.24,0.14,,0.0,1005.69,0.0,4.27,13.42,0.6,96.05,0.09
Pisticci,40.420277,16.548333,07/02/2021 03:00,0.78,0.52,246.57,0.13,0.24,1.74,0.11,5.27,4.28,1.49,0.01,54.52,0.02,,0.0,1005.05,0.0,3.93,13.27,0.66,96.31,0.06
Pisticci,40.420277,16.548333,07/02/2021 04:00,0.78,0.67,246.65,0.12,0.12,1.8,0.11,4.99,4.22,1.6,0.01,49.13,0.08,,0.0,1004.1,0.0,5.7,13.03,0.67,96.76,0.19
Pisticci,40.420277,16.548333,07/02/2021 05:00,0.75,0.61,202.22,0.12,0.21,1.81,0.11,5.01,4.13,1.47,0.01,48.16,0.14,,0.0,1003.56,0.0,5.31,12.79,0.64,97.38,0.27
Pisticci,40.420277,16.548333,07/02/2021 06:00,0.76,0.54,246.03,0.14,0.11,1.78,0.12,5.5,4.29,1.43,0.01,41.28,0.06,,0.0,1002.96,0.0,6.06,12.66,0.61,98.11,0.2
Pisticci,40.420277,16.548333,07/02/2021 07:00,0.76,0.52,243.07,0.08,0.2,1.89,0.12,7.06,5.3,1.6,0.01,29.07,0.08,,0.0,1002.41,0.0,5.38,12.53,0.63,98.69,0.08
Pisticci,40.420277,16.548333,07/02/2021 08:00,0.82,0.45,246.29,0.13,0.23,1.8,0.11,7.68,5.78,1.8,0.01,31.19,0.03,,0.0,1002.0,5.74,6.16,12.63,0.74,99.24,0.22
Pisticci,40.420277,16.548333,07/02/2021 09:00,0.85,0.76,225.83,0.14,0.24,1.77,0.12,6.91,5.54,1.89,0.01,29.03,0.08,,0.0,1001.75,26.89,5.64,12.92,0.68,99.7,0.52
Pisticci,40.420277,16.548333,07/02/2021 10:00,1.03,0.46,247.92,0.07,0.24,1.83,0.12,7.7,6.24,2.17,0.01,31.34,0.11,,0.0,1001.29,57.95,5.49,13.37,0.86,99.99,0.33
Pisticci,40.420277,16.548333,07/02/2021 11:00,0.95,0.65,157.37,0.16,0.15,1.79,0.12,8.35,7.19,2.81,0.01,39.68,0.18,,0.0,1000.66,153.73,4.88,14.8,0.95,100.0,0.38
Pisticci,40.420277,16.548333,07/02/2021 12:00,0.93,0.64,247.22,0.21,0.28,1.76,0.12,8.63,6.82,2.29,0.02,52.77,0.34,,0.0,999.65,236.24,5.78,16.47,1.01,98.51,0.6
Pisticci,40.420277,16.548333,07/02/2021 13:00,1.17,0.65,247.52,0.2,0.27,1.71,0.12,7.59,6.71,2.7,0.02,56.38,0.27,,0.0,998.28,201.53,5.42,17.77,1.78,93.21,0.77
Pisticci,40.420277,16.548333,07/02/2021 14:00,1.14,0.65,90.08,0.19,0.25,1.67,0.12,6.42,5.1,1.74,0.02,67.79,0.25,,0.0,996.9,143.13,4.27,18.4,1.29,86.05,1.3
Pisticci,40.420277,16.548333,07/02/2021 15:00,1.0,0.78,112.45,0.09,0.07,1.66,0.11,6.0,4.79,1.68,0.01,-9999.0,0.17,,0.0,995.81,276.22,5.35,18.91,0.82,79.2,2.14
Pisticci,40.420277,16.548333,07/02/2021 16:00,0.92,0.56,89.77,0.09,0.06,1.65,0.11,5.64,4.68,1.74,0.01,70.69,0.07,,0.0,996.31,116.42,-9999.0,17.62,0.57,82.93,1.31
Pisticci,40.420277,16.548333,07/02/2021 17:00,0.85,0.53,67.48,0.14,0.1,1.65,0.12,8.35,6.24,1.87,0.01,67.23,0.04,,0.0,995.7,36.44,5.16,17.11,0.55,87.6,0.45
Pisticci,40.420277,16.548333,07/02/2021 18:00,0.9,0.58,290.93,0.15,0.12,1.65,0.13,14.32,9.72,2.23,0.01,42.89,0.16,,0.0,994.84,0.01,5.85,15.4,0.56,90.08,0.34
Pisticci,40.420277,16.548333,07/02/2021 19:00,0.87,0.44,67.5,0.2,0.31,1.67,0.13,15.54,-9999.0,-9999.0,0.03,36.93,0.27,,0.0,996.19,0.0,5.93,14.89,1.41,93.95,0.39
Pisticci,40.420277,16.548333,07/02/2021 20:00,0.81,0.43,227.35,0.02,0.37,1.71,0.15,19.18,12.03,2.0,0.01,31.23,0.17,,0.0,995.91,0.0,5.68,14.46,1.7,96.1,0.13
Pisticci,40.420277,16.548333,07/02/2021 21:00,0.79,0.29,291.93,0.09,0.34,1.65,0.1,8.01,5.88,1.72,0.01,64.95,0.14,,0.0,996.15,0.0,8.03,16.74,5.59,94.03,0.83
Pisticci,40.420277,16.548333,07/02/2021 22:00,0.8,0.4,270.31,0.16,0.27,1.63,0.1,5.07,4.23,1.56,0.01,72.05,0.02,,0.0,994.08,0.0,4.96,17.33,4.69,78.04,0.87
Pisticci,40.420277,16.548333,07/02/2021 23:00,0.86,0.48,113.5,0.12,0.18,1.68,0.1,14.02,9.72,2.36,0.01,53.3,0.02,,0.0,994.31,0.0,6.66,15.04,1.68,76.08,0.53
Pisticci,40.420277,16.548333,08/02/2021 00:00,0.83,0.25,68.08,0.06,0.17,1.7,0.11,9.1,6.64,1.89,0.02,47.63,0.1,,0.0,994.34,0.0,5.6,13.63,1.88,83.86,0.43
Pisticci,40.420277,16.548333,08/02/2021 01:00,0.77,0.41,24.31,0.07,0.18,1.69,0.1,7.79,5.58,1.51,0.01,37.29,0.09,,0.0,994.05,0.0,6.58,11.74,1.26,87.83,0.06
Pisticci,40.420277,16.548333,08/02/2021 02:00,0.69,0.37,245.46,0.03,0.1,1.73,0.1,8.18,5.75,1.47,0.01,33.64,0.13,,0.0,993.05,0.0,5.38,11.09,1.29,91.38,0.04
Pisticci,40.420277,16.548333,08/02/2021 03:00,0.66,0.5,337.86,0.09,0.27,1.71,0.11,9.13,6.44,1.62,0.01,32.92,0.08,,0.0,992.02,0.0,6.04,11.96,2.009,94.15,0.25
Pisticci,40.420277,16.548333,08/02/2021 04:00,0.68,0.64,244.16,0.1,0.27,1.73,0.1,7.13,5.25,1.53,0.01,32.13,0.09,,0.2,991.11,0.0,7.28,11.97,2.51,95.11,0.23
Pisticci,40.420277,16.548333,08/02/2021 05:00,0.7,0.61,246.86,0.1,0.16,1.77,0.1,6.33,4.9,1.61,0.01,38.91,0.02,,1.0,990.08,0.0,5.73,12.07,1.69,96.52,0.33
Pisticci,40.420277,16.548333,08/02/2021 06:00,0.7,0.63,246.75,0.01,0.23,1.73,0.11,13.36,9.14,2.15,0.0,32.05,0.08,,0.0,989.32,0.0,6.11,11.9,1.13,98.02,0.38
Pisticci,40.420277,16.548333,08/02/2021 07:00,0.7,0.57,335.72,0.01,0.22,1.68,0.1,13.01,8.58,1.77,0.01,41.9,0.06,,0.0,988.6,0.01,7.74,11.84,2.41,99.27,0.59
Pisticci,40.420277,16.548333,08/02/2021 08:00,0.67,0.67,112.34,0.01,0.11,1.68,0.12,34.98,27.65,9.33,0.01,19.71,0.06,,0.0,989.37,4.51,7.01,12.03,3.25,99.94,0.17
Pisticci,40.420277,16.548333,08/02/2021 09:00,0.69,0.74,88.12,0.1,0.21,1.71,0.19,34.4,26.78,8.74,0.01,14.03,0.08,,0.2,989.97,67.01,6.05,12.49,4.27,100.0,0.16
Pisticci,40.420277,16.548333,08/02/2021 10:00,0.72,0.56,66.95,0.16,0.33,1.7,0.14,23.63,17.89,5.46,0.01,30.16,0.14,,0.0,990.45,103.49,5.58,13.82,14.86,99.99,0.41
Pisticci,40.420277,16.548333,08/02/2021 11:00,0.8,0.51,335.9,0.09,0.27,1.67,0.12,19.63,15.34,5.05,0.01,37.46,0.15,,0.0,991.0,326.2,7.05,15.67,12.11,99.6,0.39
Pisticci,40.420277,16.548333,08/02/2021 12:00,0.93,0.52,269.91,0.1,0.16,1.66,0.09,7.66,6.81,2.8,0.01,69.71,0.13,,0.0,991.39,611.74,5.1,20.11,7.15,74.51,2.49
Pisticci,40.420277,16.548333,08/02/2021 13:00,1.0,0.39,269.41,0.15,0.21,1.68,0.08,4.62,4.24,1.83,0.01,76.88,0.21,,0.0,992.0,216.81,6.44,20.0,4.24,49.5,3.45
Pisticci,40.420277,16.548333,08/02/2021 14:00,0.8,0.53,269.8,0.02,0.09,1.68,0.08,4.49,4.36,1.99,0.0,-9999.0,0.01,,0.0,992.87,116.69,5.01,19.76,1.26,47.58,2.84
Pisticci,40.420277,16.548333,08/02/2021 15:00,0.66,0.6,269.75,0.05,0.08,1.68,0.08,3.91,3.8,1.74,0.01,77.88,0.03,,0.0,993.46,265.17,-9999.0,19.65,0.73,46.49,2.5
Pisticci,40.420277,16.548333,08/02/2021 16:00,0.69,0.38,269.82,0.02,0.08,1.68,0.08,4.44,3.95,1.65,0.01,76.63,0.02,,0.0,994.17,105.41,6.29,18.3,0.62,49.32,2.06
Pisticci,40.420277,16.548333,08/02/2021 17:00,0.7,0.51,248.89,0.06,0.02,1.68,0.08,6.26,5.4,2.07,0.01,72.52,0.04,,0.0,995.13,40.74,5.79,17.49,0.53,54.26,1.98
Pisticci,40.420277,16.548333,08/02/2021 18:00,0.71,0.46,269.19,0.05,0.06,1.69,0.08,6.11,-9999.0,-9999.0,0.01,75.39,0.04,,0.0,995.95,1.14,5.89,16.62,0.53,53.99,2.17
Pisticci,40.420277,16.548333,08/02/2021 19:00,0.61,0.43,269.53,0.04,0.03,1.7,0.08,4.86,4.19,1.63,0.01,76.36,0.04,,0.0,997.15,0.0,4.84,16.329,0.47,55.31,1.75
Pisticci,40.420277,16.548333,08/02/2021 20:00,0.54,0.41,248.16,0.05,0.08,1.7,0.08,7.5,5.94,2.02,0.01,68.8,0.02,,0.0,998.05,0.0,3.7,15.41,0.45,59.42,0.94
Pisticci,40.420277,16.548333,08/02/2021 21:00,0.62,0.4,247.64,0.06,0.13,1.73,0.09,6.31,4.89,1.6,0.0,69.38,0.02,,0.0,998.74,0.0,5.53,14.95,0.47,65.16,0.9
Pisticci,40.420277,16.548333,08/02/2021 22:00,0.68,0.51,246.54,0.01,0.18,1.7,0.08,5.45,4.41,1.58,0.01,73.01,0.06,,0.0,999.29,0.0,4.15,15.28,0.58,66.24,0.85
Pisticci,40.420277,16.548333,08/02/2021 23:00,0.68,0.56,269.92,0.02,0.16,1.72,0.09,9.13,6.9,2.11,0.01,66.86,0.01,,0.0,999.57,0.0,4.02,14.5,0.46,69.01,0.52
Pisticci,40.420277,16.548333,09/02/2021 00:00,0.69,0.43,-9999.0,0.1,0.02,1.72,0.1,6.03,4.7,1.53,0.01,65.52,0.01,,0.0,1000.02,0.0,4.65,13.99,0.46,74.52,-9999.0
Pisticci,40.420277,16.548333,09/02/2021 01:00,0.69,0.31,-9999.0,0.05,0.22,1.72,0.1,5.04,4.14,1.48,0.01,58.71,0.01,,0.0,1000.16,0.0,6.77,12.84,0.51,78.04,-9999.0
Pisticci,40.420277,16.548333,09/02/2021 02:00,0.66,0.52,246.74,0.07,0.22,1.86,0.11,5.34,4.31,1.54,0.01,55.84,0.05,,0.0,999.88,0.0,5.26,11.92,0.49,82.28,0.27
Pisticci,40.420277,16.548333,09/02/2021 03:00,0.63,0.35,15.92,0.07,0.13,1.79,0.11,5.26,4.33,1.6,0.01,47.71,0.01,,0.0,999.75,0.01,6.5,12.11,0.56,85.1,0.28
Pisticci,40.420277,16.548333,09/02/2021 04:00,0.65,0.48,0.62,0.01,0.12,1.75,0.12,5.01,4.24,1.62,0.01,50.09,0.01,,0.4,999.14,0.0,5.23,12.41,0.65,88.85,0.37
Pisticci,40.420277,16.548333,09/02/2021 05:00,0.66,0.49,157.71,0.06,0.32,1.67,0.11,4.4,3.83,1.53,0.01,66.59,0.05,,0.2,998.24,0.0,4.92,14.51,1.58,92.19,0.96
Pisticci,40.420277,16.548333,09/02/2021 06:00,0.67,0.34,157.26,0.06,0.29,1.67,0.1,5.5,4.55,1.67,0.0,69.83,0.07,,0.0,997.86,0.0,5.68,16.079,3.87,84.87,1.35
Pisticci,40.420277,16.548333,09/02/2021 07:00,0.69,0.42,225.38,0.06,0.18,1.67,0.11,7.86,6.03,1.93,0.01,65.81,0.01,,0.4,998.26,0.0,5.02,15.27,1.22,82.18,0.71
Pisticci,40.420277,16.548333,09/02/2021 08:00,0.71,0.54,248.38,0.08,0.11,1.71,0.12,27.63,21.51,7.04,0.01,34.63,0.01,,0.0,998.25,2.23,5.49,14.23,0.65,87.38,0.34
Pisticci,40.420277,16.548333,09/02/2021 09:00,0.77,0.45,268.62,0.08,0.12,1.72,0.11,22.45,15.43,3.66,0.01,37.27,0.11,,2.0,998.9,8.36,4.51,13.45,0.8,91.39,0.36
Pisticci,40.420277,16.548333,09/02/2021 10:00,0.74,0.63,270.25,0.09,0.22,1.69,0.12,8.74,6.35,1.74,0.01,56.95,0.26,,1.8,999.5,21.25,3.77,13.11,1.02,95.72,0.87
Pisticci,40.420277,16.548333,09/02/2021 11:00,0.69,0.46,247.47,0.12,0.47,1.68,0.12,8.32,6.73,2.38,0.01,62.61,0.16,,0.0,998.63,474.54,5.34,15.16,0.74,99.63,0.44
Pisticci,40.420277,16.548333,09/02/2021 12:00,0.95,0.6,-9999.0,0.11,0.36,1.67,0.11,5.83,5.43,2.4,0.07,71.79,0.26,,0.0,998.42,487.88,5.53,18.57,0.86,99.99,-9999.0
Pisticci,40.420277,16.548333,09/02/2021 13:00,1.31,0.51,247.93,0.21,0.33,1.67,0.1,5.67,4.33,1.34,0.06,-9999.0,0.37,,0.6,998.36,132.37,3.36,16.41,0.91,91.27,1.49
Pisticci,40.420277,16.548333,09/02/2021 14:00,0.75,0.52,247.39,0.02,0.15,1.66,0.08,6.8,5.22,1.68,0.04,72.12,0.21,,0.0,998.29,160.1,-9999.0,16.77,0.69,84.04,1.27
Pisticci,40.420277,16.548333,09/02/2021 15:00,0.78,0.53,247.4,0.04,0.04,1.64,0.1,6.0,4.72,1.57,0.02,78.29,0.11,,0.0,998.27,292.41,8.24,18.02,0.62,73.97,1.95
Pisticci,40.420277,16.548333,09/02/2021 16:00,0.91,0.58,269.56,0.08,0.17,1.64,0.09,5.3,3.78,1.04,0.02,81.25,0.16,,0.0,998.45,272.95,4.3,18.81,0.44,63.49,2.13
Pisticci,40.420277,16.548333,09/02/2021 17:00,1.01,0.55,269.28,0.04,0.08,1.65,0.09,5.6,-9999.0,-9999.0,0.01,80.44,0.03,,0.0,999.05,80.95,4.33,17.56,0.35,60.56,2.55
Pisticci,40.420277,16.548333,09/02/2021 18:00,0.88,0.57,269.1,0.04,0.03,1.65,0.09,6.92,4.5,0.91,0.01,75.69,0.03,,0.0,999.84,0.09,4.59,15.46,0.23,69.3,1.49
Pisticci,40.420277,16.548333,09/02/2021 19:00,0.75,0.53,269.15,0.09,0.07,1.66,0.1,5.86,4.01,0.94,0.01,76.77,0.01,,0.0,1000.76,0.0,4.59,15.33,0.25,70.91,1.72
Pisticci,40.420277,16.548333,09/02/2021 20:00,0.73,0.5,248.98,0.03,0.02,1.7,0.1,8.69,5.75,1.18,0.02,68.96,0.01,,0.0,1001.94,0.0,3.54,14.28,0.23,72.24,0.95
Pisticci,40.420277,16.548333,09/02/2021 21:00,0.74,0.61,269.72,0.01,0.03,1.68,0.09,5.2,3.57,0.87,0.01,72.47,0.02,,0.0,1002.72,0.0,4.66,14.03,0.34,75.35,0.93
Pisticci,40.420277,16.548333,09/02/2021 22:00,0.7,0.65,247.55,0.04,0.05,1.72,0.09,5.98,4.05,0.94,0.02,65.23,0.05,,0.0,1003.06,0.0,2.44,13.15,0.58,71.25,0.73
Pisticci,40.420277,16.548333,09/02/2021 23:00,0.68,0.57,269.11,0.02,0.11,1.68,0.08,6.52,5.4,2.02,0.02,71.38,0.03,,0.0,1003.28,0.0,4.01,14.48,0.51,72.46,0.92
Pisticci,40.420277,16.548333,10/02/2021 00:00,0.69,0.51,247.61,0.03,0.2,1.76,0.09,5.65,3.91,0.97,0.02,60.91,0.02,,0.0,1003.73,0.0,3.92,12.76,0.35,73.68,0.38
Pisticci,40.420277,16.548333,10/02/2021 01:00,0.69,0.47,225.89,0.02,0.04,1.7,0.09,5.96,3.98,0.88,0.01,54.68,0.05,,0.0,1003.87,0.0,4.16,12.22,0.37,78.83,0.41
Pisticci,40.420277,16.548333,10/02/2021 02:00,0.69,0.45,268.71,0.03,0.07,1.7,0.11,4.48,3.35,1.02,0.02,55.73,0.02,,0.0,1003.49,0.0,4.9,12.22,0.48,80.73,0.35
Pisticci,40.420277,16.548333,10/02/2021 03:00,0.68,0.45,268.78,0.02,0.15,1.69,0.09,4.16,3.07,0.94,0.02,58.65,0.02,,0.0,1003.4,0.0,2.4,12.34,0.47,83.66,0.41
Pisticci,40.420277,16.548333,10/02/2021 04:00,0.68,0.49,337.73,0.02,0.14,1.71,0.09,5.0,3.48,0.87,0.02,57.82,0.03,,0.0,1003.2,0.0,3.56,12.9,0.45,83.88,0.28
Pisticci,40.420277,16.548333,10/02/2021 05:00,0.73,0.57,291.7,0.02,0.06,1.69,0.1,4.59,3.47,1.08,0.02,64.51,0.02,,0.0,1002.92,0.0,5.81,13.15,0.41,85.43,0.56
Pisticci,40.420277,16.548333,10/02/2021 06:00,0.7,0.51,225.6,0.02,0.32,1.68,0.1,6.12,3.96,0.81,0.03,77.73,0.02,,0.0,1002.44,0.0,4.86,15.52,0.36,80.43,1.09
Pisticci,40.420277,16.548333,10/02/2021 07:00,0.71,0.48,158.2,0.02,0.12,1.66,0.09,5.41,3.79,1.02,0.02,83.01,0.03,,0.0,1002.38,0.0,3.85,17.13,0.4,69.21,1.88
Pisticci,40.420277,16.548333,10/02/2021 08:00,0.71,0.52,135.11,0.02,0.11,1.66,0.1,12.2,8.22,1.84,0.01,72.96,0.04,,0.0,1002.19,1.58,4.38,17.13,0.28,67.56,1.52
Pisticci,40.420277,16.548333,10/02/2021 09:00,0.68,0.58,157.76,0.05,0.07,1.66,0.1,7.79,5.54,1.46,0.01,78.31,0.01,,0.0,1002.25,188.77,5.11,18.22,0.3,68.38,1.66
Pisticci,40.420277,16.548333,10/02/2021 10:00,0.7,0.56,202.58,0.03,0.03,1.66,0.11,6.67,5.0,1.52,0.03,78.98,0.02,,0.0,1001.98,380.29,6.13,20.83,0.31,58.6,1.38
Pisticci,40.420277,16.548333,10/02/2021 11:00,0.86,0.63,179.97,0.06,0.14,1.65,0.12,6.85,4.98,1.39,0.02,79.99,0.02,,0.0,1001.54,484.85,4.77,21.83,0.48,54.73,1.46
Pisticci,40.420277,16.548333,10/02/2021 12:00,1.03,0.73,157.74,0.02,0.25,1.64,0.16,8.25,5.9,1.59,0.02,-9999.0,0.03,,0.0,1000.78,415.23,5.67,21.49,0.44,55.8,1.77
Pisticci,40.420277,16.548333,10/02/2021 13:00,1.04,0.74,112.7,0.03,0.17,1.65,0.13,8.98,6.37,1.66,0.01,79.82,0.04,,0.0,1000.06,153.66,-9999.0,21.16,0.49,60.14,0.86
Pisticci,40.420277,16.548333,10/02/2021 14:00,0.99,0.71,248.01,0.02,0.04,1.64,0.11,6.74,4.74,1.24,0.02,77.09,0.03,,0.0,999.54,148.46,5.67,22.0,0.51,56.03,2.24
Pisticci,40.420277,16.548333,10/02/2021 15:00,0.81,0.73,247.31,0.06,0.19,1.63,0.12,5.77,4.38,1.36,0.01,77.61,0.01,,0.0,998.75,355.02,4.4,23.19,0.46,53.54,1.79
Pisticci,40.420277,16.548333,10/02/2021 16:00,1.16,0.6,247.16,0.02,0.17,1.64,0.13,6.33,-9999.0,-9999.0,0.01,76.97,0.02,,0.0,998.72,338.96,4.34,21.95,0.38,56.68,2.25
Pisticci,40.420277,16.548333,10/02/2021 17:00,1.13,0.61,180.21,0.09,0.16,1.63,0.12,9.06,6.06,1.27,0.01,75.09,0.13,,0.0,998.61,33.42,3.39,19.08,0.38,62.73,1.02
Pisticci,40.420277,16.548333,10/02/2021 18:00,1.03,0.62,158.19,0.06,0.11,1.63,0.12,12.66,7.92,1.3,0.02,69.35,0.09,,0.0,998.12,0.15,5.33,17.81,0.4,70.16,0.63
Pisticci,40.420277,16.548333,10/02/2021 19:00,0.99,0.48,339.06,0.02,0.25,1.65,0.14,22.75,13.28,1.37,0.01,45.35,0.02,,0.4,998.33,0.0,5.04,16.04,0.52,75.43,0.15
Pisticci,40.420277,16.548333,10/02/2021 20:00,1.05,0.45,224.66,0.05,0.04,1.69,0.16,24.5,14.42,1.6,0.02,26.64,0.12,,0.0,998.03,0.0,5.64,14.13,0.72,85.89,0.23
Pisticci,40.420277,16.548333,10/02/2021 21:00,1.04,0.48,246.85,0.09,0.49,1.72,0.14,10.69,6.74,1.18,0.02,41.22,0.05,,2.2,998.3,0.0,4.97,14.21,0.85,92.57,0.19
Pisticci,40.420277,16.548333,10/02/2021 22:00,1.07,0.67,112.74,0.02,0.44,1.66,0.14,6.93,4.8,1.18,0.01,62.01,0.06,,0.2,996.65,0.0,7.59,14.34,0.81,97.18,0.76
Pisticci,40.420277,16.548333,10/02/2021 23:00,0.98,0.53,111.99,0.03,0.39,1.64,0.13,5.84,3.85,0.79,0.01,63.83,0.14,,0.0,996.8,0.0,6.08,13.96,0.69,99.96,0.74
Pisticci,40.420277,16.548333,11/02/2021 00:00,0.9,0.54,90.49,0.02,0.14,1.64,0.12,5.51,3.7,0.85,0.01,58.81,0.09,,0.0,996.75,0.0,6.43,13.76,0.62,99.99,0.73
Pisticci,40.420277,16.548333,11/02/2021 01:00,0.86,0.57,247.23,0.02,0.24,1.67,0.1,3.65,2.8,0.9,0.01,74.48,0.03,,0.0,996.18,0.0,5.95,15.09,0.7,100.0,0.99
Pisticci,40.420277,16.548333,11/02/2021 02:00,0.82,0.47,91.04,0.04,0.23,1.66,0.1,3.54,2.58,0.74,0.02,75.67,0.03,,0.0,995.91,0.0,6.56,15.18,0.56,100.0,0.53
Pisticci,40.420277,16.548333,11/02/2021 03:00,0.86,0.44,249.04,0.04,0.1,1.65,0.11,4.03,2.83,0.75,0.01,64.33,0.02,,0.0,996.14,0.0,5.68,14.33,0.4,95.85,0.53
Pisticci,40.420277,16.548333,11/02/2021 04:00,0.83,0.35,269.93,0.02,0.2,1.65,0.11,3.25,2.45,0.74,0.01,83.41,0.01,,1.2,996.64,0.01,5.49,13.44,0.37,90.56,0.87
Pisticci,40.420277,16.548333,11/02/2021 05:00,0.79,0.35,246.29,0.01,0.18,1.71,0.1,3.69,2.75,0.81,0.01,79.67,0.02,,0.2,996.72,0.0,4.91,12.09,0.31,92.67,0.68
Pisticci,40.420277,16.548333,11/02/2021 06:00,0.79,0.45,315.25,0.03,0.09,1.66,0.11,6.99,4.39,0.75,0.01,72.61,0.01,,1.0,997.1,0.0,5.52,11.85,0.27,93.77,0.38
Pisticci,40.420277,16.548333,11/02/2021 07:00,0.78,0.47,290.74,0.01,0.11,1.65,0.11,13.12,7.85,0.96,0.01,57.39,0.01,,0.2,997.74,0.0,4.87,11.54,0.43,96.56,0.29
Pisticci,40.420277,16.548333,11/02/2021 08:00,0.78,0.47,293.32,0.01,0.12,1.65,0.1,16.17,11.91,3.44,0.01,55.48,0.01,,0.0,998.65,14.71,5.43,11.53,0.35,99.81,0.23
Pisticci,40.420277,16.548333,11/02/2021 09:00,0.78,0.57,335.41,0.02,0.11,1.67,0.11,16.01,10.86,2.48,0.01,57.18,0.01,,0.0,999.8,275.39,5.47,13.96,0.38,99.99,0.5
Pisticci,40.420277,16.548333,11/02/2021 10:00,1.39,0.64,335.77,0.02,0.13,1.67,0.1,8.78,6.01,1.37,0.01,67.85,0.05,,0.0,1000.6,423.46,5.26,17.57,0.52,99.99,0.94
Pisticci,40.420277,16.548333,11/02/2021 11:00,1.53,0.62,315.59,0.06,0.24,1.66,0.1,5.08,3.7,1.08,0.01,-9999.0,0.1,,0.0,1001.14,555.15,6.35,18.84,0.69,83.89,1.33
