Stazione,Latitudine,Longitudine,Data_Ora,CO (mg/m³),PM10 (µg/m³)
Potenza_viale_Firenze,40.313888,15.904444,08/01/2022 02:00,0.5,18.82
Potenza_viale_Firenze,40.313888,15.904444,08/01/2022 03:00,0.45,38.29
Potenza_viale_Firenze,40.313888,15.904444,08/01/2022 04:00,0.3,60.12
Potenza_viale_Firenze,40.313888,15.904444,08/01/2022 05:00,0.27,69.31
Potenza_viale_Firenze,40.313888,15.904444,08/01/2022 06:00,0.28,120.44
Potenza_viale_Firenze,40.313888,15.904444,08/01/2022 07:00,0.31,85.13
Potenza_viale_Firenze,40.313888,15.904444,08/01/2022 08:00,0.4,46.21
Potenza_viale_Firenze,40.313888,15.904444,08/01/2022 09:00,0.6,43.43
Potenza_viale_Firenze,40.313888,15.904444,08/01/2022 10:00,0.64,32.84
Potenza_viale_Firenze,40.313888,15.904444,08/01/2022 11:00,0.55,49.31
Potenza_viale_Firenze,40.313888,15.904444,08/01/2022 12:00,0.55,58.56
Potenza_viale_Firenze,40.313888,15.904444,08/01/2022 13:00,0.53,65.79
Potenza_viale_Firenze,40.313888,15.904444,08/01/2022 14:00,0.57,20.62
Potenza_viale_Firenze,40.313888,15.904444,08/01/2022 15:00,0.56,11.81
Potenza_viale_Firenze,40.313888,15.904444,08/01/2022 16:00,0.55,15.59
Potenza_viale_Firenze,40.313888,15.904444,08/01/2022 17:00,0.69,13.69
Potenza_viale_Firenze,40.313888,15.904444,08/01/2022 18:00,0.77,16.98
Potenza_viale_Firenze,40.313888,15.904444,08/01/2022 19:00,0.87,13.19
Potenza_viale_Firenze,40.313888,15.904444,08/01/2022 20:00,0.68,16.17
Potenza_viale_Firenze,40.313888,15.904444,08/01/2022 21:00,0.67,18.95
Potenza_viale_Firenze,40.313888,15.904444,08/01/2022 22:00,0.47,24.02
Potenza_viale_Firenze,40.313888,15.904444,08/01/2022 23:00,0.45,14.17
Potenza_viale_Firenze,40.313888,15.904444,09/01/2022 00:00,0.43,17.84
Potenza_viale_Firenze,40.313888,15.904444,09/01/2022 01:00,0.45,15.29
Potenza_viale_Firenze,40.313888,15.904444,09/01/2022 02:00,0.41,23.38
Potenza_viale_Firenze,40.313888,15.904444,09/01/2022 03:00,0.38,34.98
Potenza_viale_Firenze,40.313888,15.904444,09/01/2022 04:00,0.37,9.3
Potenza_viale_Firenze,40.313888,15.904444,09/01/2022 05:00,0.37,8.77
Potenza_viale_Firenze,40.313888,15.904444,09/01/2022 06:00,0.39,8.03
Potenza_viale_Firenze,40.313888,15.904444,09/01/2022 07:00,0.42,-9999.0
Potenza_viale_Firenze,40.313888,15.904444,09/01/2022 08:00,0.59,13.92
Potenza_viale_Firenze,40.313888,15.904444,09/01/2022 09:00,0.79,18.98
Potenza_viale_Firenze,40.313888,15.904444,09/01/2022 10:00,0.66,21.42
Potenza_viale_Firenze,40.313888,15.904444,09/01/2022 11:00,0.58,19.89
Potenza_viale_Firenze,40.313888,15.904444,09/01/2022 12:00,0.68,18.55
Potenza_viale_Firenze,40.313888,15.904444,09/01/2022 13:00,0.66,20.67
Potenza_viale_Firenze,40.313888,15.904444,09/01/2022 14:00,0.81,19.89
Potenza_viale_Firenze,40.313888,15.904444,09/01/2022 15:00,0.58,24.66
Potenza_viale_Firenze,40.313888,15.904444,09/01/2022 16:00,0.52,34.69
Potenza_viale_Firenze,40.313888,15.904444,09/01/2022 17:00,0.57,44.15
Potenza_viale_Firenze,40.313888,15.904444,09/01/2022 18:00,0.74,45.37
Potenza_viale_Firenze,40.313888,15.904444,09/01/2022 19:00,0.72,42.07
Potenza_viale_Firenze,40.313888,15.904444,09/01/2022 20:00,0.7,37.56
Potenza_viale_Firenze,40.313888,15.904444,09/01/2022 21:00,0.62,41.53
Potenza_viale_Firenze,40.313888,15.904444,09/01/2022 22:00,0.6,30.85
Potenza_viale_Firenze,40.313888,15.904444,09/01/2022 23:00,0.48,25.27
Potenza_viale_Firenze,40.313888,15.904444,10/01/2022 00:00,0.43,42.15
Potenza_viale_Firenze,40.313888,15.904444,10/01/2022 01:00,0.43,29.56
Potenza_viale_Firenze,40.313888,15.904444,10/01/2022 02:00,0.41,14.84
Potenza_viale_Firenze,40.313888,15.904444,10/01/2022 03:00,0.39,13.44
Potenza_viale_Firenze,40.313888,15.904444,10/01/2022 04:00,0.39,18.48
Potenza_viale_Firenze,40.313888,15.904444,10/01/2022 05:00,0.39,34.29
Potenza_viale_Firenze,40.313888,15.904444,10/01/2022 06:00,0.39,41.84
Potenza_viale_Firenze,40.313888,15.904444,10/01/2022 07:00,0.41,-9999.0
Potenza_viale_Firenze,40.313888,15.904444,10/01/2022 08:00,0.41,28.94
Potenza_viale_Firenze,40.313888,15.904444,10/01/2022 09:00,0.46,25.49
Potenza_viale_Firenze,40.313888,15.904444,10/01/2022 10:00,0.51,21.14
Potenza_viale_Firenze,40.313888,15.904444,10/01/2022 11:00,0.7,25.27
Potenza_viale_Firenze,40.313888,15.904444,10/01/2022 12:00,0.68,26.83
Potenza_viale_Firenze,40.313888,15.904444,10/01/2022 13:00,0.69,29.12
Potenza_viale_Firenze,40.313888,15.904444,10/01/2022 14:00,0.85,22.42
Potenza_viale_Firenze,40.313888,15.904444,10/01/2022 15:00,0.65,16.48
Potenza_viale_Firenze,40.313888,15.904444,10/01/2022 16:00,0.63,16.1
Potenza_viale_Firenze,40.313888,15.904444,10/01/2022 17:00,0.67,16.39
Potenza_viale_Firenze,40.313888,15.904444,10/01/2022 18:00,0.83,13.63
Potenza_viale_Firenze,40.313888,15.904444,10/01/2022 19:00,1.08,17.03
Potenza_viale_Firenze,40.313888,15.904444,10/01/2022 20:00,0.54,22.23
Potenza_viale_Firenze,40.313888,15.904444,10/01/2022 21:00,0.53,17.3
Potenza_viale_Firenze,40.313888,15.904444,10/01/2022 22:00,0.53,17.42
Potenza_viale_Firenze,40.313888,15.904444,10/01/2022 23:00,0.45,15.61
Potenza_viale_Firenze,40.313888,15.904444,11/01/2022 00:00,0.44,13.84
Potenza_viale_Firenze,40.313888,15.904444,11/01/2022 01:00,0.47,11.08
Potenza_viale_Firenze,40.313888,15.904444,11/01/2022 02:00,0.47,12.75
