Stazione,Latitudine,Longitudine,Data_Ora,Benzene (µg/m³),CO (mg/m³),Etilbenzene (µg/m³),mp-Xilene (µg/m³),o-Xilene (µg/m³),PM10 (µg/m³),Toluene (µg/m³)
Potenza_Viale_Unicef,40.627777,15.796388,05/01/2021 22:00,0.56,0.23,0.11,0.53,0.15,30.37,0.56
Potenza_Viale_Unicef,40.627777,15.796388,05/01/2021 23:00,0.36,0.2,0.11,0.12,0.1,22.92,0.15
Potenza_Viale_Unicef,40.627777,15.796388,06/01/2021 00:00,0.21,0.17,0.11,-0.03,0.09,37.28,0.09
Potenza_Viale_Unicef,40.627777,15.796388,06/01/2021 01:00,0.16,0.16,0.11,-0.03,0.1,30.57,0.08
Potenza_Viale_Unicef,40.627777,15.796388,06/01/2021 02:00,0.06,0.15,0.11,-0.02,0.1,20.39,0.08
Potenza_Viale_Unicef,40.627777,15.796388,06/01/2021 03:00,0.06,0.14,0.11,-0.02,0.1,19.07,0.08
Potenza_Viale_Unicef,40.627777,15.796388,06/01/2021 04:00,0.11,0.15,0.11,-0.03,0.1,25.94,0.08
Potenza_Viale_Unicef,40.627777,15.796388,06/01/2021 05:00,0.08,0.14,0.11,-0.03,0.1,21.06,0.08
Potenza_Viale_Unicef,40.627777,15.796388,06/01/2021 06:00,0.06,0.15,0.11,-0.03,0.1,15.13,0.08
Potenza_Viale_Unicef,40.627777,15.796388,06/01/2021 07:00,0.05,0.16,0.11,-0.03,0.1,14.02,0.08
Potenza_Viale_Unicef,40.627777,15.796388,06/01/2021 08:00,0.28,0.16,0.11,0.51,0.13,18.47,0.44
Potenza_Viale_Unicef,40.627777,15.796388,06/01/2021 09:00,0.24,0.21,0.11,0.18,0.11,14.86,0.21
Potenza_Viale_Unicef,40.627777,15.796388,06/01/2021 10:00,0.41,0.18,0.11,0.31,0.12,18.75,0.5
Potenza_Viale_Unicef,40.627777,15.796388,06/01/2021 11:00,0.23,0.19,0.11,0.18,0.09,18.59,0.38
Potenza_Viale_Unicef,40.627777,15.796388,06/01/2021 12:00,0.48,0.22,0.11,0.71,0.14,16.42,0.72
Potenza_Viale_Unicef,40.627777,15.796388,06/01/2021 13:00,0.37,0.18,0.11,0.48,0.09,14.02,0.54
Potenza_Viale_Unicef,40.627777,15.796388,06/01/2021 14:00,0.39,0.22,0.11,0.46,0.08,14.39,0.52
Potenza_Viale_Unicef,40.627777,15.796388,06/01/2021 15:00,0.49,-9999.0,0.19,0.81,0.12,11.47,0.7
Potenza_Viale_Unicef,40.627777,15.796388,06/01/2021 16:00,0.54,0.19,0.13,0.58,0.1,13.88,0.44
Potenza_Viale_Unicef,40.627777,15.796388,06/01/2021 17:00,0.35,0.19,0.11,0.16,0.09,18.2,0.09
Potenza_Viale_Unicef,40.627777,15.796388,06/01/2021 18:00,0.56,0.25,0.11,0.25,0.09,18.98,0.27
Potenza_Viale_Unicef,40.627777,15.796388,06/01/2021 19:00,0.56,0.24,0.11,0.52,0.1,16.45,0.55
Potenza_Viale_Unicef,40.627777,15.796388,06/01/2021 20:00,0.52,0.22,0.11,0.16,0.1,12.04,0.38
Potenza_Viale_Unicef,40.627777,15.796388,06/01/2021 21:00,0.55,0.19,0.11,0.27,0.1,8.89,0.33
Potenza_Viale_Unicef,40.627777,15.796388,06/01/2021 22:00,0.24,0.18,0.11,0.17,0.1,13.6,0.09
Potenza_Viale_Unicef,40.627777,15.796388,06/01/2021 23:00,0.21,0.16,0.11,0.31,0.09,27.62,0.32
Potenza_Viale_Unicef,40.627777,15.796388,07/01/2021 00:00,0.2,0.15,0.11,-0.03,0.1,43.41,0.08
Potenza_Viale_Unicef,40.627777,15.796388,07/01/2021 01:00,0.15,0.14,0.11,-0.06,0.09,24.32,0.08
Potenza_Viale_Unicef,40.627777,15.796388,07/01/2021 02:00,0.13,0.14,0.11,-0.06,0.1,16.67,0.08
Potenza_Viale_Unicef,40.627777,15.796388,07/01/2021 03:00,0.1,0.13,0.11,-0.06,0.1,15.91,0.08
Potenza_Viale_Unicef,40.627777,15.796388,07/01/2021 04:00,0.07,0.12,0.11,0.03,0.09,21.91,0.09
Potenza_Viale_Unicef,40.627777,15.796388,07/01/2021 05:00,0.05,0.13,0.11,-0.04,0.1,17.95,0.07
Potenza_Viale_Unicef,40.627777,15.796388,07/01/2021 06:00,0.05,0.15,0.11,-0.05,0.1,12.34,0.08
Potenza_Viale_Unicef,40.627777,15.796388,07/01/2021 07:00,0.11,0.3,0.11,0.17,0.09,14.34,0.25
Potenza_Viale_Unicef,40.627777,15.796388,07/01/2021 08:00,0.76,0.48,0.11,0.78,0.12,13.59,0.72
